stationName,id,terminalName,lat,long,nbBikes,nbEmptyDocks
18th & Eads St.,2,31001,38.85725,-77.05332,5,4
20th & Crystal Dr,3,31002,38.856425,-77.049232,9,6
15th & Crystal Dr,4,31003,38.86017,-77.049593,8,3
Aurora Hills Community Ctr/18th & Hayes St,5,31004,38.857866,-77.05949,4,7
Pentagon City Metro / 12th & S Hayes St,6,31005,38.862303,-77.059936,15,4
S Joyce & Army Navy Dr,7,31006,38.8637,-77.0633,8,6
Crystal City Metro / 18th & Bell St,8,31007,38.857063,-77.051141,14,5
12th & Army Navy Dr,9,31008,38.8629,-77.0528,6,5
27th & Crystal Dr,10,31009,38.848441,-77.051516,11,8
S Glebe & Potomac Ave,11,31010,38.8426,-77.0502,4,6
23rd & Crystal Dr,12,31011,38.8533,-77.0498,8,9
26th & S Clark St,13,31012,38.850688,-77.05152,6,5
19th St & Pennsylvania Ave NW,14,31100,38.9003,-77.0429,7,7
14th & V St NW,15,31101,38.9176,-77.0321,4,22
11th & Kenyon St NW,16,31102,38.929464,-77.027822,2,25
16th & Harvard St NW,17,31103,38.926088,-77.036536,1,31
Adams Mill & Columbia Rd NW,18,31104,38.922925,-77.042581,1,14
14th & Harvard St NW,19,31105,38.9268,-77.0322,2,17
Calvert & Biltmore St NW,20,31106,38.923203,-77.047637,2,20
Lamont & Mt Pleasant NW,21,31107,38.9319,-77.0388,4,15
4th & M St SW,22,31108,38.8767,-77.0178,5,16
15th & P St NW,23,31201,38.90985,-77.034438,10,8
14th & R St NW,24,31202,38.912682,-77.031681,3,12
14th & Rhode Island Ave NW,25,31203,38.9086,-77.0323,14,8
20th & E St NW,26,31204,38.8963,-77.045,7,8
21st & I St NW,27,31205,38.9008,-77.047,30,2
Georgia & New Hampshire Ave NW,28,31400,38.936043,-77.024649,3,12
14th St & Spring Rd NW,29,31401,38.9375,-77.0328,1,10
John McCormack Dr & Michigan Ave NE,30,31502,38.9346,-76.9955,4,7
5th & K St NW,31,31600,38.90304,-77.019027,4,14
19th & East Capitol St SE,32,31601,38.8896,-76.9769,1,12
Park Rd & Holmead Pl NW,33,31602,38.9308,-77.0315,8,10
Connecticut Ave & Newark St NW / Cleveland Park,35,31305,38.934267,-77.057979,5,6
Anacostia Metro,39,31801,38.862669,-76.994637,3,7
Good Hope Rd & MLK Ave SE,40,31802,38.867373,-76.988039,4,7
19th & E Street NW,41,31206,38.8952,-77.0436,3,8
4th & W St NE,42,31500,38.919077,-77.000648,5,9
10th & U St NW,43,31111,38.9172,-77.0259,2,12
Georgia Ave and Fairmont St NW,44,31207,38.9249,-77.0222,3,7
20th St & Florida Ave NW,46,31110,38.9154,-77.0446,2,11
7th & T St NW,47,31109,38.9155,-77.0222,5,10
23rd & Eads St,48,31013,38.853531,-77.053509,4,11
M St & New Jersey Ave SE,49,31208,38.8763,-77.0037,0,16
Massachusetts Ave & Dupont Circle NW,51,31200,38.9101,-77.0444,8,34
1st & M St NE,52,31603,38.9057,-77.0056,6,6
21st & M St NW,53,31212,38.90534,-77.046774,14,5
17th & K St NW,54,31213,38.90276,-77.03863,9,13
3rd & H St NW,55,31604,38.899408,-77.015289,0,14
3rd & D St SE,56,31605,38.8851,-77.0023,5,6
Potomac & Pennsylvania Ave SE,57,31606,38.8803,-76.9862,3,11
14th & D St SE,58,31607,38.884,-76.9861,3,9
17th & Corcoran St NW,59,31214,38.9121,-77.0387,5,13
Van Ness Metro / UDC,60,31300,38.944551,-77.063896,9,5
Florida Ave & R St NW,61,31503,38.9126,-77.0135,6,8
8th & Eye St SE / Barracks Row,62,31608,38.8792,-76.9953,9,2
Ward Circle / American University,63,31301,38.938736,-77.087171,5,10
14th St Heights / 14th & Crittenden St NW,65,31402,38.947774,-77.032818,5,6
Eastern Market / 7th & North Carolina Ave SE,68,31610,38.886952,-76.996806,6,7
14th St & New York Ave NW,69,31216,38.899632,-77.031686,12,11
USDA / 12th & Independence Ave SW,71,31217,38.887237,-77.028226,15,22
Georgetown Harbor / 30th St NW,72,31215,38.9022212,-77.059219,6,13
12th & Newton St NE,73,31501,38.933668,-76.991016,2,9
US Dept of State / Virginia Ave & 21st St NW,74,31220,38.894919,-77.046587,0,15
L'Enfant Plaza / 7th & C St SW,75,31218,38.886266,-77.022241,15,0
10th St & Constitution Ave NW,76,31219,38.893028,-77.026013,12,19
Kennedy Center,77,31211,38.897293,-77.05557,16,2
Eastern Market Metro / Pennsylvania Ave & 7th St SE,78,31613,38.884,-76.995397,7,7
18th & M St NW,79,31221,38.904742,-77.041606,9,8
Tenleytown / Wisconsin Ave & Albemarle St NW,80,31303,38.947607,-77.079382,0,15
13th & H St NE,81,31611,38.9003,-76.9882,7,20
5th & F St NW,82,31620,38.897222,-77.019347,24,7
