StartDate,Mean TemperatureF,MeanDew PointF, Events,Ridership,StartDate
2010/9/15,,,,1,2010/9/15
2010/9/16,,,,1,2010/9/16
2010/9/17,,,,9,2010/9/17
2010/9/19,,,,11,2010/9/19
2010/9/20,,,,238,2010/9/20
2010/9/21,,,,335,2010/9/21
2010/9/22,,,,406,2010/9/22
2010/9/23,,,,380,2010/9/23
2010/9/24,,,,370,2010/9/24
2010/9/25,,,,555,2010/9/25
2010/9/26,,,,547,2010/9/26
2010/9/27,,,,292,2010/9/27
2010/9/28,,,,420,2010/9/28
2010/9/29,,,,454,2010/9/29
2010/9/30,,,,165,2010/9/30
2010/10/1,68,54,Rain,588,2010/10/1
2010/10/2,62,45,,858,2010/10/2
2010/10/3,60,51,Rain,516,2010/10/3
2010/10/4,54,48,Rain,336,2010/10/4
2010/10/5,57,43,,636,2010/10/5
2010/10/6,58,44,Rain,689,2010/10/6
2010/10/7,64,47,,888,2010/10/7
2010/10/8,66,45,,950,2010/10/8
2010/10/9,69,50,,1131,2010/10/9
2010/10/10,67,52,,1114,2010/10/10
2010/10/11,75,58,,985,2010/10/11
2010/10/12,73,56,,1096,2010/10/12
2010/10/13,63,43,,1139,2010/10/13
2010/10/14,57,53,Rain,583,2010/10/14
2010/10/15,58,39,,1155,2010/10/15
2010/10/16,59,38,,1401,2010/10/16
2010/10/17,62,45,,1354,2010/10/17
2010/10/18,61,44,Rain,1151,2010/10/18
2010/10/19,58,49,,1159,2010/10/19
2010/10/20,55,51,Rain,1156,2010/10/20
2010/10/21,60,44,,1349,2010/10/21
2010/10/22,53,33,,1393,2010/10/22
2010/10/23,56,42,,1726,2010/10/23
2010/10/24,64,50,,1575,2010/10/24
2010/10/25,67,60,,1352,2010/10/25
2010/10/26,69,63,,1572,2010/10/26
2010/10/27,72,68,Rain,1047,2010/10/27
2010/10/28,66,53,,1714,2010/10/28
2010/10/29,53,32,,1681,2010/10/29
2010/10/30,50,34,,2342,2010/10/30
2010/10/31,57,37,,1977,2010/10/31
2010/11/1,48,30,,1474,2010/11/1
2010/11/2,46,30,,1422,2010/11/2
2010/11/3,49,41,Rain,1507,2010/11/3
2010/11/4,50,47,Rain,602,2010/11/4
2010/11/5,52,38,Rain,1880,2010/11/5
2010/11/6,47,33,,1844,2010/11/6
2010/11/7,45,30,,1442,2010/11/7
2010/11/8,53,28,,1623,2010/11/8
2010/11/9,54,36,,1964,2010/11/9
2010/11/10,55,42,,2075,2010/11/10
2010/11/11,53,34,,2087,2010/11/11
2010/11/12,51,29,,2059,2010/11/12
2010/11/13,53,33,,2300,2010/11/13
2010/11/14,53,39,,2039,2010/11/14
2010/11/15,54,47,Rain,1756,2010/11/15
2010/11/16,57,52,Rain,783,2010/11/16
2010/11/17,56,42,Rain-Thunderstorm,1948,2010/11/17
2010/11/18,51,34,,1881,2010/11/18
2010/11/19,46,31,,1981,2010/11/19
2010/11/20,53,37,,2385,2010/11/20
2010/11/21,50,40,,1777,2010/11/21
2010/11/22,55,48,,1927,2010/11/22
2010/11/23,61,45,Rain,1789,2010/11/23
2010/11/24,49,26,,1513,2010/11/24
2010/11/25,49,36,Rain,569,2010/11/25
2010/11/26,51,38,Rain,792,2010/11/26
2010/11/27,41,20,,952,2010/11/27
2010/11/28,42,24,,958,2010/11/28
2010/11/29,42,34,,1508,2010/11/29
2010/11/30,56,50,Rain,1277,2010/11/30
2010/12/1,51,43,Rain,991,2010/12/1
2010/12/2,38,22,,1486,2010/12/2
2010/12/3,39,23,,1609,2010/12/3
2010/12/4,37,19,,1221,2010/12/4
2010/12/5,37,17,,1019,2010/12/5
2010/12/6,35,13,,1194,2010/12/6
2010/12/7,32,10,,1096,2010/12/7
2010/12/8,32,10,,1152,2010/12/8
2010/12/9,32,13,,1296,2010/12/9
2010/12/10,33,22,Snow,1307,2010/12/10
2010/12/11,39,30,Rain,1154,2010/12/11
2010/12/12,42,40,Fog-Rain,428,2010/12/12
2010/12/13,31,16,Snow,1051,2010/12/13
2010/12/14,25,5,Snow,859,2010/12/14
2010/12/15,28,5,,1062,2010/12/15
2010/12/16,24,17,Fog-Snow,678,2010/12/16
2010/12/17,31,18,,873,2010/12/17
2010/12/18,30,24,,846,2010/12/18
2010/12/19,33,20,,814,2010/12/19
2010/12/20,31,17,,1046,2010/12/20
2010/12/21,35,18,,1061,2010/12/21
2010/12/22,40,19,,1112,2010/12/22
2010/12/23,38,19,,747,2010/12/23
2010/12/24,36,18,,352,2010/12/24
2010/12/25,34,22,Snow,191,2010/12/25
2010/12/26,31,21,Snow,92,2010/12/26
2010/12/27,32,9,,308,2010/12/27
2010/12/28,37,11,,705,2010/12/28
2010/12/29,39,21,,946,2010/12/29
2010/12/30,38,25,,1121,2010/12/30
2010/12/31,41,28,,948,2010/12/31
2011/1/1,46,44,Rain,1968,2011/1/1
2011/1/2,47,40,Rain,1600,2011/1/2
2011/1/3,35,13,,2694,2011/1/3
2011/1/4,34,21,,3122,2011/1/4
2011/1/5,37,15,,3194,2011/1/5
2011/1/6,35,18,Snow,3206,2011/1/6
2011/1/7,33,17,Snow,3012,2011/1/7
2011/1/8,30,19,Fog-Snow,1918,2011/1/8
2011/1/9,30,9,,1642,2011/1/9
2011/1/10,30,12,,2638,2011/1/10
2011/1/11,31,25,Fog-Rain-Snow,2520,2011/1/11
2011/1/12,32,19,,2318,2011/1/12
2011/1/13,32,13,,2798,2011/1/13
2011/1/14,30,15,,2836,2011/1/14
2011/1/15,37,20,,2496,2011/1/15
