StartStation,Ridership,id,terminalName,lat,long,nbBikes,nbEmptyDocks
Massachusetts Ave & Dupont Circle NW,370961,51,31200,38.9101,-77.0444,8,34
Columbus Circle / Union Station,340146,113,31623,38.89696,-77.00493,36,7
15th & P St NW,260320,23,31201,38.90985,-77.034438,10,8
17th & Corcoran St NW,211351,59,31214,38.9121,-77.0387,5,13
14th & V St NW,206645,15,31101,38.9176,-77.0321,4,22
Lincoln Memorial,206487,204,31258,38.888251,-77.049426,0,23
Eastern Market Metro / Pennsylvania Ave & 7th St SE,198131,78,31613,38.884,-76.995397,7,7
Jefferson Dr & 14th St SW,192468,168,31247,38.888553,-77.032429,18,4
14th & R St NW,144233,24,31202,38.912682,-77.031681,3,12
17th & K St NW,134895,54,31213,38.90276,-77.03863,9,13
Smithsonian / Jefferson Dr & 12th St SW,121086,169,31248,38.888767,-77.02858,8,14
Jefferson Memorial,116908,178,31249,38.879819,-77.037413,14,6
13th & D St NE,88083,101,31622,38.894832,-76.987633,5,26
13th & H St NE,85050,81,31611,38.9003,-76.9882,7,20
Crystal City Metro / 18th & Bell St,77212,8,31007,38.857063,-77.051141,14,5
D St & Maryland Ave NE,71481,89,31612,38.894758,-76.997114,5,16
11th & H St NE,49879,111,31614,38.899983,-76.991383,2,16
27th & Crystal Dr,41386,10,31009,38.848441,-77.051516,11,8
8th & F St NE,37406,234,31631,38.897274,-76.994749,4,11
