StartDate,Ridership
2010/9/15,1
2010/9/16,1
2010/9/17,9
2010/9/19,11
2010/9/20,238
2010/9/21,335
2010/9/22,406
2010/9/23,380
2010/9/24,370
2010/9/25,555
2010/9/26,547
2010/9/27,292
2010/9/28,420
2010/9/29,454
2010/9/30,165
2010/10/1,588
2010/10/2,858
2010/10/3,516
2010/10/4,336
2010/10/5,636
2010/10/6,689
2010/10/7,888
2010/10/8,950
2010/10/9,1131
2010/10/10,1114
2010/10/11,985
2010/10/12,1096
2010/10/13,1139
2010/10/14,583
2010/10/15,1155
2010/10/16,1401
2010/10/17,1354
2010/10/18,1151
2010/10/19,1159
2010/10/20,1156
2010/10/21,1349
2010/10/22,1393
2010/10/23,1726
2010/10/24,1575
2010/10/25,1352
2010/10/26,1572
2010/10/27,1047
2010/10/28,1714
2010/10/29,1681
2010/10/30,2342
2010/10/31,1977
2010/11/1,1474
2010/11/2,1422
2010/11/3,1507
2010/11/4,602
2010/11/5,1880
2010/11/6,1844
2010/11/7,1442
2010/11/8,1623
2010/11/9,1964
2010/11/10,2075
2010/11/11,2087
2010/11/12,2059
2010/11/13,2300
2010/11/14,2039
2010/11/15,1756
2010/11/16,783
2010/11/17,1948
2010/11/18,1881
2010/11/19,1981
2010/11/20,2385
2010/11/21,1777
2010/11/22,1927
2010/11/23,1789
2010/11/24,1513
2010/11/25,569
2010/11/26,792
2010/11/27,952
2010/11/28,958
2010/11/29,1508
2010/11/30,1277
2010/12/1,991
2010/12/2,1486
2010/12/3,1609
2010/12/4,1221
2010/12/5,1019
2010/12/6,1194
2010/12/7,1096
2010/12/8,1152
2010/12/9,1296
2010/12/10,1307
2010/12/11,1154
2010/12/12,428
2010/12/13,1051
2010/12/14,859
2010/12/15,1062
2010/12/16,678
2010/12/17,873
2010/12/18,846
2010/12/19,814
2010/12/20,1046
2010/12/21,1061
2010/12/22,1112
2010/12/23,747
2010/12/24,352
2010/12/25,191
2010/12/26,92
2010/12/27,308
2010/12/28,705
2010/12/29,946
2010/12/30,1121
2010/12/31,948
2011/1/1,1968
2011/1/2,1600
2011/1/3,2694
2011/1/4,3122
2011/1/5,3194
2011/1/6,3206
2011/1/7,3012
2011/1/8,1918
2011/1/9,1642
2011/1/10,2638
2011/1/11,2520
2011/1/12,2318
2011/1/13,2798
2011/1/14,2836
2011/1/15,2496
2011/1/16,2408
2011/1/17,2000
2011/1/18,1360
2011/1/19,3298
2011/1/20,3830
2011/1/21,3074
2011/1/22,1962
2011/1/23,1972
2011/1/24,2828
2011/1/25,3964
2011/1/26,1006
2011/1/27,860
2011/1/28,2330
2011/1/29,2194
2011/1/30,2186
2011/1/31,2998
2011/2/1,2720
2011/2/2,3048
2011/2/3,3090
2011/2/4,3410
2011/2/5,2010
2011/2/6,3240
2011/2/7,3408
2011/2/8,3048
2011/2/9,3194
2011/2/10,3068
2011/2/11,3478
2011/2/12,2942
2011/2/13,3176
2011/2/14,3810
2011/2/15,3616
2011/2/16,4216
2011/2/17,4938
2011/2/18,5840
2011/2/19,3268
2011/2/20,3624
2011/2/21,2210
2011/2/22,2882
2011/2/23,3816
2011/2/24,3602
2011/2/25,2908
2011/2/26,3936
2011/2/27,4802
2011/2/28,2878
2011/3/1,3686
2011/3/2,4254
2011/3/3,3354
2011/3/4,3872
2011/3/5,4146
2011/3/6,1208
2011/3/7,3734
2011/3/8,4246
2011/3/9,3762
2011/3/10,1240
2011/3/11,3942
2011/3/12,4264
2011/3/13,4826
2011/3/14,4086
2011/3/15,4092
2011/3/16,4374
2011/3/17,5472
2011/3/18,6454
2011/3/19,6222
2011/3/20,4936
2011/3/21,4146
2011/3/22,5388
2011/3/23,4234
2011/3/24,3718
2011/3/25,4398
2011/3/26,4990
2011/3/27,3382
2011/3/28,4040
2011/3/29,4840
2011/3/30,3056
2011/3/31,3348
2011/4/1,4432
2011/4/2,4504
2011/4/3,6496
2011/4/4,6214
2011/4/5,3572
2011/4/6,5594
2011/4/7,6266
2011/4/8,2934
2011/4/9,4908
2011/4/10,5784
2011/4/11,6680
2011/4/12,4050
2011/4/13,4300
2011/4/14,6502
2011/4/15,6230
2011/4/16,1590
2011/4/17,7482
2011/4/18,6834
2011/4/19,6384
2011/4/20,7866
2011/4/21,8358
2011/4/22,3352
2011/4/23,8070
2011/4/24,8376
2011/4/25,8124
2011/4/26,8754
2011/4/27,7718
2011/4/28,8088
2011/4/29,9178
2011/4/30,10624
2011/5/1,6696
2011/5/2,8770
2011/5/3,8874
2011/5/4,5248
2011/5/5,8844
2011/5/6,9186
2011/5/7,9420
2011/5/8,8664
2011/5/9,8670
2011/5/10,9562
2011/5/11,8344
2011/5/12,9710
2011/5/13,8192
2011/5/14,6804
2011/5/15,9104
2011/5/16,7900
2011/5/17,8226
2011/5/18,7686
2011/5/19,9122
2011/5/20,9812
2011/5/21,11606
2011/5/22,9308
2011/5/23,8538
2011/5/24,8974
2011/5/25,9932
2011/5/26,9328
2011/5/27,9340
2011/5/28,9512
