start_day,Category_ID,Ridership
2010/9/15,14,1
2010/9/16,10,1
2010/9/17,11,6
2010/9/17,12,2
2010/9/17,17,1
2010/9/19,13,1
2010/9/19,14,5
2010/9/19,15,5
2010/9/20,11,4
2010/9/20,12,34
2010/9/20,13,11
2010/9/20,14,6
2010/9/20,15,13
2010/9/20,16,19
2010/9/20,17,24
2010/9/20,18,40
2010/9/20,19,34
2010/9/20,20,23
2010/9/20,21,18
2010/9/20,22,5
2010/9/20,23,7
2010/9/21,0,2
2010/9/21,6,4
2010/9/21,7,6
2010/9/21,8,25
2010/9/21,9,24
2010/9/21,10,12
2010/9/21,11,16
2010/9/21,12,22
2010/9/21,13,20
2010/9/21,14,17
2010/9/21,15,11
2010/9/21,16,15
2010/9/21,17,28
2010/9/21,18,48
2010/9/21,19,34
2010/9/21,20,17
2010/9/21,21,19
2010/9/21,22,12
2010/9/21,23,3
2010/9/22,0,1
2010/9/22,1,1
2010/9/22,2,1
2010/9/22,3,1
2010/9/22,4,2
2010/9/22,5,2
2010/9/22,6,4
2010/9/22,7,18
2010/9/22,8,28
2010/9/22,9,25
2010/9/22,10,16
2010/9/22,11,23
2010/9/22,12,27
2010/9/22,13,27
2010/9/22,14,27
2010/9/22,15,21
2010/9/22,16,22
2010/9/22,17,31
2010/9/22,18,33
2010/9/22,19,30
2010/9/22,20,20
2010/9/22,21,24
2010/9/22,22,13
2010/9/22,23,9
2010/9/23,0,4
2010/9/23,2,2
2010/9/23,3,1
2010/9/23,6,3
2010/9/23,7,11
2010/9/23,8,30
2010/9/23,9,18
2010/9/23,10,8
2010/9/23,11,20
2010/9/23,12,18
2010/9/23,13,13
2010/9/23,14,19
2010/9/23,15,18
2010/9/23,16,22
2010/9/23,17,27
2010/9/23,18,40
2010/9/23,19,38
2010/9/23,20,22
2010/9/23,21,24
2010/9/23,22,25
2010/9/23,23,17
2010/9/24,0,4
2010/9/24,1,1
2010/9/24,2,5
2010/9/24,7,7
2010/9/24,8,19
2010/9/24,9,19
2010/9/24,10,18
2010/9/24,11,14
2010/9/24,12,21
2010/9/24,13,18
2010/9/24,14,24
2010/9/24,15,19
2010/9/24,16,22
2010/9/24,17,37
2010/9/24,18,37
2010/9/24,19,27
2010/9/24,20,23
2010/9/24,21,17
2010/9/24,22,28
2010/9/24,23,10
2010/9/25,0,6
2010/9/25,1,4
2010/9/25,2,7
2010/9/25,3,4
2010/9/25,6,1
2010/9/25,7,4
2010/9/25,8,15
2010/9/25,9,31
2010/9/25,10,32
2010/9/25,11,54
2010/9/25,12,59
2010/9/25,13,71
2010/9/25,14,53
2010/9/25,15,34
2010/9/25,16,22
2010/9/25,17,14
2010/9/25,18,36
2010/9/25,19,34
2010/9/25,20,23
2010/9/25,21,28
2010/9/25,22,11
2010/9/25,23,12
2010/9/26,0,26
2010/9/26,1,5
2010/9/26,2,16
2010/9/26,6,2
2010/9/26,7,8
2010/9/26,8,2
2010/9/26,9,12
2010/9/26,10,18
2010/9/26,11,19
2010/9/26,12,39
2010/9/26,13,37
2010/9/26,14,64
2010/9/26,15,54
2010/9/26,16,38
2010/9/26,17,63
2010/9/26,18,42
2010/9/26,19,32
2010/9/26,20,35
2010/9/26,21,18
2010/9/26,22,12
2010/9/26,23,5
2010/9/27,0,4
2010/9/27,6,3
2010/9/27,7,5
2010/9/27,8,20
2010/9/27,9,12
2010/9/27,10,6
2010/9/27,11,8
2010/9/27,12,5
2010/9/27,13,12
2010/9/27,14,13
2010/9/27,15,9
2010/9/27,16,16
2010/9/27,17,42
2010/9/27,18,52
2010/9/27,19,35
2010/9/27,20,21
2010/9/27,21,16
2010/9/27,22,9
2010/9/27,23,4
2010/9/28,0,1
2010/9/28,1,1
2010/9/28,6,4
2010/9/28,7,16
2010/9/28,8,40
2010/9/28,9,18
2010/9/28,10,13
2010/9/28,11,12
2010/9/28,12,19
2010/9/28,13,23
2010/9/28,14,14
2010/9/28,15,26
2010/9/28,16,20
2010/9/28,17,46
2010/9/28,18,46
2010/9/28,19,32
2010/9/28,20,22
2010/9/28,21,37
2010/9/28,22,21
2010/9/28,23,9
2010/9/29,0,3
2010/9/29,1,1
2010/9/29,3,1
2010/9/29,5,1
2010/9/29,6,4
2010/9/29,7,32
2010/9/29,8,66
2010/9/29,9,49
2010/9/29,10,23
2010/9/29,11,29
2010/9/29,12,33
2010/9/29,13,8
2010/9/29,14,4
2010/9/29,15,4
2010/9/29,16,19
2010/9/29,17,32
2010/9/29,18,35
2010/9/29,19,40
2010/9/29,20,23
2010/9/29,21,27
2010/9/29,22,17
2010/9/29,23,3
2010/9/30,1,1
2010/9/30,7,1
2010/9/30,8,13
2010/9/30,9,10
2010/9/30,10,4
2010/9/30,11,2
2010/9/30,12,2
2010/9/30,13,10
2010/9/30,14,5
2010/9/30,15,19
2010/9/30,16,11
2010/9/30,17,44
2010/9/30,18,21
2010/9/30,19,16
2010/9/30,20,2
2010/9/30,21,1
2010/9/30,22,2
2010/9/30,23,1
2010/10/1,0,2
2010/10/1,1,5
2010/10/1,2,4
2010/10/1,3,2
2010/10/1,6,3
2010/10/1,7,19
2010/10/1,8,41
2010/10/1,9,34
2010/10/1,10,20
2010/10/1,11,31
2010/10/1,12,26
2010/10/1,13,28
2010/10/1,14,24
2010/10/1,15,29
2010/10/1,16,40
2010/10/1,17,63
2010/10/1,18,63
2010/10/1,19,60
2010/10/1,20,34
2010/10/1,21,27
2010/10/1,22,15
2010/10/1,23,18
2010/10/2,0,11
2010/10/2,1,5
2010/10/2,2,8
2010/10/2,3,2
2010/10/2,4,1
2010/10/2,6,3
2010/10/2,7,7
2010/10/2,8,23
2010/10/2,9,26
2010/10/2,10,45
2010/10/2,11,66
2010/10/2,12,94
2010/10/2,13,76
2010/10/2,14,72
2010/10/2,15,106
2010/10/2,16,65
2010/10/2,17,67
2010/10/2,18,46
2010/10/2,19,49
2010/10/2,20,22
2010/10/2,21,28
2010/10/2,22,30
2010/10/2,23,6
2010/10/3,0,20
2010/10/3,1,16
2010/10/3,2,14
2010/10/3,3,2
2010/10/3,4,1
2010/10/3,6,1
2010/10/3,7,3
2010/10/3,8,12
2010/10/3,9,32
2010/10/3,10,32
2010/10/3,11,39
2010/10/3,12,65
2010/10/3,13,63
2010/10/3,14,61
2010/10/3,15,55
2010/10/3,16,43
2010/10/3,17,35
2010/10/3,18,9
2010/10/3,19,4
2010/10/3,20,5
2010/10/3,21,1
2010/10/3,22,2
2010/10/3,23,1
2010/10/4,0,2
2010/10/4,2,1
2010/10/4,6,1
2010/10/4,7,6
2010/10/4,8,10
2010/10/4,9,10
2010/10/4,10,7
2010/10/4,11,10
2010/10/4,12,13
2010/10/4,13,21
2010/10/4,14,16
2010/10/4,15,14
2010/10/4,16,26
2010/10/4,17,54
2010/10/4,18,51
2010/10/4,19,32
2010/10/4,20,26
2010/10/4,21,18
2010/10/4,22,11
2010/10/4,23,7
2010/10/5,0,1
2010/10/5,1,3
2010/10/5,5,1
2010/10/5,6,8
2010/10/5,7,26
2010/10/5,8,51
2010/10/5,9,42
2010/10/5,10,20
2010/10/5,11,19
2010/10/5,12,22
2010/10/5,13,24
2010/10/5,14,26
2010/10/5,15,27
2010/10/5,16,35
2010/10/5,17,94
2010/10/5,18,73
2010/10/5,19,58
2010/10/5,20,46
2010/10/5,21,28
2010/10/5,22,18
2010/10/5,23,14
2010/10/6,0,7
2010/10/6,5,1
2010/10/6,6,10
2010/10/6,7,25
2010/10/6,8,61
2010/10/6,9,59
2010/10/6,10,27
2010/10/6,11,24
2010/10/6,12,41
2010/10/6,13,30
2010/10/6,14,17
2010/10/6,15,20
2010/10/6,16,45
2010/10/6,17,99
2010/10/6,18,80
2010/10/6,19,64
2010/10/6,20,37
2010/10/6,21,22
2010/10/6,22,10
2010/10/6,23,10
2010/10/7,0,10
2010/10/7,1,2
2010/10/7,2,1
2010/10/7,3,1
2010/10/7,5,1
2010/10/7,6,16
2010/10/7,7,31
2010/10/7,8,101
2010/10/7,9,54
2010/10/7,10,33
2010/10/7,11,25
2010/10/7,12,34
2010/10/7,13,51
2010/10/7,14,33
2010/10/7,15,36
2010/10/7,16,52
2010/10/7,17,94
2010/10/7,18,94
2010/10/7,19,78
2010/10/7,20,56
2010/10/7,21,42
2010/10/7,22,22
2010/10/7,23,21
2010/10/8,0,12
2010/10/8,1,11
2010/10/8,2,2
2010/10/8,6,8
2010/10/8,7,26
2010/10/8,8,88
2010/10/8,9,63
2010/10/8,10,36
2010/10/8,11,58
2010/10/8,12,56
2010/10/8,13,50
2010/10/8,14,44
2010/10/8,15,61
2010/10/8,16,78
2010/10/8,17,89
2010/10/8,18,66
2010/10/8,19,74
2010/10/8,20,40
2010/10/8,21,38
2010/10/8,22,34
2010/10/8,23,16
2010/10/9,0,9
2010/10/9,1,18
2010/10/9,2,16
2010/10/9,3,2
2010/10/9,4,5
2010/10/9,5,1
2010/10/9,6,3
2010/10/9,7,9
2010/10/9,8,31
2010/10/9,9,46
2010/10/9,10,65
2010/10/9,11,58
2010/10/9,12,97
2010/10/9,13,77
2010/10/9,14,88
2010/10/9,15,94
2010/10/9,16,133
2010/10/9,17,97
2010/10/9,18,88
2010/10/9,19,54
2010/10/9,20,39
2010/10/9,21,35
2010/10/9,22,44
2010/10/9,23,22
2010/10/10,0,22
2010/10/10,1,14
2010/10/10,2,21
2010/10/10,3,5
2010/10/10,4,1
2010/10/10,6,5
2010/10/10,7,8
2010/10/10,8,12
2010/10/10,9,43
