StartDate,Ridership,DayType
15-09-10,1,No
16-09-10,1,No
17-09-10,9,No
19-09-10,11,No
20-09-10,238,No
21-09-10,335,No
22-09-10,406,No
23-09-10,380,No
24-09-10,370,No
25-09-10,555,No
26-09-10,547,No
27-09-10,292,No
28-09-10,420,No
29-09-10,454,No
30-09-10,165,No
01-10-10,588,No
02-10-10,858,No
03-10-10,516,No
04-10-10,336,No
05-10-10,636,No
06-10-10,689,No
07-10-10,888,No
08-10-10,950,No
09-10-10,1131,No
10-10-10,1114,No
11-10-10,985,Yes
12-10-10,1096,No
13-10-10,1139,No
14-10-10,583,No
15-10-10,1155,No
16-10-10,1401,No
17-10-10,1354,No
18-10-10,1151,No
19-10-10,1159,No
20-10-10,1156,No
21-10-10,1349,No
22-10-10,1393,No
23-10-10,1726,No
24-10-10,1575,No
25-10-10,1352,No
26-10-10,1572,No
27-10-10,1047,No
28-10-10,1714,No
29-10-10,1681,No
30-10-10,2342,No
31-10-10,1977,No
01-11-10,1474,No
02-11-10,1422,No
03-11-10,1507,No
04-11-10,602,No
05-11-10,1880,No
06-11-10,1844,No
07-11-10,1442,No
08-11-10,1623,No
09-11-10,1964,No
10-11-10,2075,No
11-11-10,2087,Yes
12-11-10,2059,No
13-11-10,2300,No
14-11-10,2039,No
15-11-10,1756,No
16-11-10,783,No
17-11-10,1948,No
18-11-10,1881,No
19-11-10,1981,No
20-11-10,2385,No
21-11-10,1777,No
22-11-10,1927,No
23-11-10,1789,No
24-11-10,1513,No
25-11-10,569,Yes
26-11-10,792,No
27-11-10,952,No
28-11-10,958,No
29-11-10,1508,No
30-11-10,1277,No
01-12-10,991,No
02-12-10,1486,No
03-12-10,1609,No
04-12-10,1221,No
05-12-10,1019,No
06-12-10,1194,No
07-12-10,1096,No
08-12-10,1152,No
09-12-10,1296,No
10-12-10,1307,No
11-12-10,1154,No
12-12-10,428,No
13-12-10,1051,No
14-12-10,859,No
15-12-10,1062,No
16-12-10,678,No
17-12-10,873,No
18-12-10,846,No
19-12-10,814,No
20-12-10,1046,No
21-12-10,1061,No
22-12-10,1112,No
23-12-10,747,No
24-12-10,352,Yes
25-12-10,191,No
26-12-10,92,No
27-12-10,308,No
28-12-10,705,No
29-12-10,946,No
30-12-10,1121,No
31-12-10,948,Yes
01-01-11,1968,No
02-01-11,1600,No
03-01-11,2694,No
04-01-11,3122,No
05-01-11,3194,No
06-01-11,3206,No
07-01-11,3012,No
08-01-11,1918,No
09-01-11,1642,No
10-01-11,2638,No
11-01-11,2520,No
12-01-11,2318,No
13-01-11,2798,No
14-01-11,2836,No
15-01-11,2496,No
16-01-11,2408,No
17-01-11,2000,Yes
18-01-11,1360,No
19-01-11,3298,No
20-01-11,3830,No
21-01-11,3074,No
22-01-11,1962,No
23-01-11,1972,No
24-01-11,2828,No
25-01-11,3964,No
26-01-11,1006,No
27-01-11,860,No
28-01-11,2330,No
29-01-11,2194,No
30-01-11,2186,No
31-01-11,2998,No
01-02-11,2720,No
02-02-11,3048,No
03-02-11,3090,No
04-02-11,3410,No
05-02-11,2010,No
06-02-11,3240,No
07-02-11,3408,No
08-02-11,3048,No
09-02-11,3194,No
10-02-11,3068,No
11-02-11,3478,No
12-02-11,2942,No
13-02-11,3176,No
14-02-11,3810,No
15-02-11,3616,No
16-02-11,4216,No
17-02-11,4938,No
18-02-11,5840,No
19-02-11,3268,No
20-02-11,3624,No
21-02-11,2210,Yes
22-02-11,2882,No
23-02-11,3816,No
24-02-11,3602,No
25-02-11,2908,No
26-02-11,3936,No
27-02-11,4802,No
28-02-11,2878,No
01-03-11,3686,No
02-03-11,4254,No
03-03-11,3354,No
04-03-11,3872,No
05-03-11,4146,No
06-03-11,1208,No
07-03-11,3734,No
08-03-11,4246,No
09-03-11,3762,No
10-03-11,1240,No
11-03-11,3942,No
12-03-11,4264,No
13-03-11,4826,No
14-03-11,4086,No
15-03-11,4092,No
16-03-11,4374,No
17-03-11,5472,No
18-03-11,6454,No
19-03-11,6222,No
20-03-11,4936,No
21-03-11,4146,No
22-03-11,5388,No
23-03-11,4234,No
24-03-11,3718,No
25-03-11,4398,No
