StartDate,Ridership,DayType
2010/9/15,1,Non_Holiday
2010/9/16,1,Non_Holiday
2010/9/17,9,Non_Holiday
2010/9/19,11,Non_Holiday
2010/9/20,238,Non_Holiday
2010/9/21,335,Non_Holiday
2010/9/22,406,Non_Holiday
2010/9/23,380,Non_Holiday
2010/9/24,370,Non_Holiday
2010/9/25,555,Non_Holiday
2010/9/26,547,Non_Holiday
2010/9/27,292,Non_Holiday
2010/9/28,420,Non_Holiday
2010/9/29,454,Non_Holiday
2010/9/30,165,Non_Holiday
2010/10/1,588,Non_Holiday
2010/10/2,858,Non_Holiday
2010/10/3,516,Non_Holiday
2010/10/4,336,Non_Holiday
2010/10/5,636,Non_Holiday
2010/10/6,689,Non_Holiday
2010/10/7,888,Non_Holiday
2010/10/8,950,Non_Holiday
2010/10/9,1131,Non_Holiday
2010/10/10,1114,Non_Holiday
2010/10/11,985,Holiday
2010/10/12,1096,Non_Holiday
2010/10/13,1139,Non_Holiday
2010/10/14,583,Non_Holiday
2010/10/15,1155,Non_Holiday
2010/10/16,1401,Non_Holiday
2010/10/17,1354,Non_Holiday
2010/10/18,1151,Non_Holiday
2010/10/19,1159,Non_Holiday
2010/10/20,1156,Non_Holiday
2010/10/21,1349,Non_Holiday
2010/10/22,1393,Non_Holiday
2010/10/23,1726,Non_Holiday
2010/10/24,1575,Non_Holiday
2010/10/25,1352,Non_Holiday
2010/10/26,1572,Non_Holiday
2010/10/27,1047,Non_Holiday
2010/10/28,1714,Non_Holiday
2010/10/29,1681,Non_Holiday
2010/10/30,2342,Non_Holiday
2010/10/31,1977,Non_Holiday
2010/11/1,1474,Non_Holiday
2010/11/2,1422,Non_Holiday
2010/11/3,1507,Non_Holiday
2010/11/4,602,Non_Holiday
2010/11/5,1880,Non_Holiday
2010/11/6,1844,Non_Holiday
2010/11/7,1442,Non_Holiday
2010/11/8,1623,Non_Holiday
2010/11/9,1964,Non_Holiday
2010/11/10,2075,Non_Holiday
2010/11/11,2087,Holiday
2010/11/12,2059,Non_Holiday
2010/11/13,2300,Non_Holiday
2010/11/14,2039,Non_Holiday
2010/11/15,1756,Non_Holiday
2010/11/16,783,Non_Holiday
2010/11/17,1948,Non_Holiday
2010/11/18,1881,Non_Holiday
2010/11/19,1981,Non_Holiday
2010/11/20,2385,Non_Holiday
2010/11/21,1777,Non_Holiday
2010/11/22,1927,Non_Holiday
2010/11/23,1789,Non_Holiday
2010/11/24,1513,Non_Holiday
2010/11/25,569,Holiday
2010/11/26,792,Non_Holiday
2010/11/27,952,Non_Holiday
2010/11/28,958,Non_Holiday
2010/11/29,1508,Non_Holiday
2010/11/30,1277,Non_Holiday
2010/12/1,991,Non_Holiday
2010/12/2,1486,Non_Holiday
2010/12/3,1609,Non_Holiday
2010/12/4,1221,Non_Holiday
2010/12/5,1019,Non_Holiday
2010/12/6,1194,Non_Holiday
2010/12/7,1096,Non_Holiday
2010/12/8,1152,Non_Holiday
2010/12/9,1296,Non_Holiday
2010/12/10,1307,Non_Holiday
2010/12/11,1154,Non_Holiday
2010/12/12,428,Non_Holiday
2010/12/13,1051,Non_Holiday
2010/12/14,859,Non_Holiday
2010/12/15,1062,Non_Holiday
2010/12/16,678,Non_Holiday
2010/12/17,873,Non_Holiday
2010/12/18,846,Non_Holiday
2010/12/19,814,Non_Holiday
2010/12/20,1046,Non_Holiday
2010/12/21,1061,Non_Holiday
2010/12/22,1112,Non_Holiday
2010/12/23,747,Non_Holiday
2010/12/24,352,Holiday
2010/12/25,191,Non_Holiday
2010/12/26,92,Non_Holiday
2010/12/27,308,Non_Holiday
