EndStation,Ridership
10th & E St NW,62425
10th & Florida Ave NW,19270
10th & K St NW,17518
10th & Monroe St NE,16673
10th & U St NW,117841
10th St & Constitution Ave NW,132592
10th St & L'Enfant Plaza SW,805
11th & F St NW,45518
11th & H St NE,58249
11th & Kenyon St NW,123357
11th & M St NW,75038
11th & S St NW,15883
12th & Army Navy Dr,19516
12th & Irving St NE,6162
12th & L St NW,60711
12th & Newton St NE,7715
12th & U St NW,66444
13th & D St NE,86476
13th & H St NE,96313
13th St & Eastern Ave,1722
13th St & New York Ave NW,107557
14th & Belmont St NW,44800
14th & D St NW / Ronald Reagan Building,119372
14th & D St SE,62740
14th & G St NW,114822
14th & Girard St NW,679
14th & Harvard St NW,92884
14th & L St NW,2822
14th & R St NW,154135
14th & Rhode Island Ave NW,178700
14th & Upshur St NW,10016
14th & V St NW,218954
14th St & Colorado Ave NW,6156
14th St & New York Ave NW,89664
14th St & Spring Rd NW,42648
14th St Heights / 14th & Crittenden St NW,11716
15th & Crystal Dr,24943
15th & East Capitol St NE,23863
15th & Euclid St  NW,34112
15th & F St NE,22527
15th & K St NW,61705
15th & L St NW,28365
15th & N Scott St,10995
15th & P St NW,289341
15th St & Massachusetts Ave SE,38541
16th & Harvard St NW,85644
16th & Irving St NW,1633
16th & K St NW,56397
16th & R St NW,4101
17th & Corcoran St NW,219625
17th & G St NW,39593
17th & K St NW,146982
17th & K St NW / Farragut Square,107251
17th & Rhode Island Ave NW,113857
17th St & Independence Ave SW,1438
17th St & Massachusetts Ave NW,69405
18th & C St NW,1593
18th & Eads St.,7422
18th & M St NW,117011
18th & R St NW,32909
18th St & Pennsylvania Ave NW,74711
18th St & Rhode Island Ave NE,12080
18th St & Wyoming Ave NW,54044
19th & E Street NW,43006
19th & East Capitol St SE,31727
19th & G St NW,13616
19th & K St NW,39974
19th & L St NW,85510
19th St & Constitution Ave NW,114571
19th St & Pennsylvania Ave NW,78043
1st & H St NW,21345
1st & K St SE,71106
1st & M St NE,134893
1st & N St SE,33363
1st & O St NW,2143
1st & Rhode Island Ave NW,70817
1st & Washington Hospital Center NW,10067
20th & Crystal Dr,32490
20th & E St NW,91601
20th & L St NW,37963
20th & O St NW / Dupont South,94431
20th St & Florida Ave NW,166764
20th St & Virginia Ave NW,17672
21st & I St NW,147417
21st & M St NW,156938
21st St & Constitution Ave NW,39696
21st St & Pennsylvania Ave NW,42751
21st St N & N Pierce St,1399
