StartStation,EndStation,Ridership
10th & E St NW,10th & Florida Ave NW,46
10th & E St NW,10th & K St NW,178
10th & E St NW,10th & Monroe St NE,15
10th & E St NW,10th & U St NW,244
10th & E St NW,10th St & Constitution Ave NW,851
10th & E St NW,10th St & L'Enfant Plaza SW,3
10th & E St NW,11th & F St NW,327
10th & E St NW,11th & H St NE,228
10th & E St NW,11th & Kenyon St NW,476
10th & E St NW,11th & M St NW,505
10th & E St NW,11th & S St NW,60
10th & E St NW,12th & Army Navy Dr,9
10th & E St NW,12th & Irving St NE,2
10th & E St NW,12th & L St NW,188
10th & E St NW,12th & Newton St NE,108
10th & E St NW,12th & U St NW,176
10th & E St NW,13th & D St NE,422
10th & E St NW,13th & H St NE,230
10th & E St NW,13th St & Eastern Ave,1
10th & E St NW,13th St & New York Ave NW,374
10th & E St NW,14th & Belmont St NW,98
10th & E St NW,14th & D St NW / Ronald Reagan Building,588
10th & E St NW,14th & D St SE,168
10th & E St NW,14th & G St NW,475
10th & E St NW,14th & Harvard St NW,58
10th & E St NW,14th & L St NW,11
10th & E St NW,14th & R St NW,302
10th & E St NW,14th & Rhode Island Ave NW,578
10th & E St NW,14th & Upshur St NW,88
10th & E St NW,14th & V St NW,268
10th & E St NW,14th St & Colorado Ave NW,3
10th & E St NW,14th St & New York Ave NW,379
10th & E St NW,14th St & Spring Rd NW,39
10th & E St NW,14th St Heights / 14th & Crittenden St NW,5
10th & E St NW,15th & Crystal Dr,18
10th & E St NW,15th & East Capitol St NE,191
10th & E St NW,15th & Euclid St  NW,46
10th & E St NW,15th & F St NE,109
10th & E St NW,15th & K St NW,280
10th & E St NW,15th & L St NW,76
10th & E St NW,15th & N Scott St,10
10th & E St NW,15th & P St NW,673
10th & E St NW,15th St & Massachusetts Ave SE,98
10th & E St NW,16th & Harvard St NW,73
10th & E St NW,16th & Irving St NW,2
10th & E St NW,16th & R St NW,15
10th & E St NW,17th & Corcoran St NW,593
10th & E St NW,17th & G St NW,242
10th & E St NW,17th & K St NW,211
10th & E St NW,17th & K St NW / Farragut Square,380
10th & E St NW,17th & Rhode Island Ave NW,225
10th & E St NW,17th St & Independence Ave SW,5
10th & E St NW,17th St & Massachusetts Ave NW,203
10th & E St NW,18th & C St NW,9
10th & E St NW,18th & Eads St.,3
10th & E St NW,18th & M St NW,187
10th & E St NW,18th & R St NW,86
10th & E St NW,18th St & Pennsylvania Ave NW,466
10th & E St NW,18th St & Rhode Island Ave NE,142
10th & E St NW,18th St & Wyoming Ave NW,85
10th & E St NW,19th & E Street NW,110
10th & E St NW,19th & East Capitol St SE,69
10th & E St NW,19th & G St NW,30
10th & E St NW,19th & K St NW,90
10th & E St NW,19th & L St NW,84
10th & E St NW,19th St & Constitution Ave NW,583
10th & E St NW,19th St & Pennsylvania Ave NW,206
10th & E St NW,1st & H St NW,114
10th & E St NW,1st & K St SE,525
10th & E St NW,1st & M St NE,522
10th & E St NW,1st & N St SE,108
10th & E St NW,1st & O St NW,11
10th & E St NW,1st & Rhode Island Ave NW,282
10th & E St NW,1st & Washington Hospital Center NW,3
10th & E St NW,20th & Crystal Dr,25
10th & E St NW,20th & E St NW,374
10th & E St NW,20th & L St NW,281
10th & E St NW,20th & O St NW / Dupont South,343
10th & E St NW,20th St & Florida Ave NW,137
10th & E St NW,20th St & Virginia Ave NW,84
10th & E St NW,21st & I St NW,199
10th & E St NW,21st & M St NW,583
10th & E St NW,21st St & Constitution Ave NW,208
10th & E St NW,21st St & Pennsylvania Ave NW,141
10th & E St NW,22nd & I St NW / Foggy Bottom,305
10th & E St NW,23rd & Crystal Dr,20
10th & E St NW,23rd & E St NW ,128
10th & E St NW,23rd & Eads St,5
10th & E St NW,24th & N St NW,98
10th & E St NW,25th St & Pennsylvania Ave NW,369
10th & E St NW,27th & Crystal Dr,14
10th & E St NW,28th St S & S Meade St,2
10th & E St NW,2nd & G St NE,86
10th & E St NW,2nd St & Massachusetts Ave NE,42
10th & E St NW,3000 Connecticut Ave NW / National Zoo,34
10th & E St NW,33rd & Water St NW,43
10th & E St NW,34th St & Wisconsin Ave NW,33
10th & E St NW,36th & Calvert St NW / Glover Park,30
10th & E St NW,37th & O St NW / Georgetown University,63
10th & E St NW,39th & Calvert St NW / Stoddert,102
10th & E St NW,3rd & D St SE,441
10th & E St NW,3rd & Elm St NW,72
10th & E St NW,3rd & G St SE,259
10th & E St NW,3rd & H St NE,463
10th & E St NW,3rd & H St NW,335
10th & E St NW,3rd & Tingey St SE,75
10th & E St NW,3rd St & Pennsylvania Ave SE,303
10th & E St NW,4th & D St NW / Judiciary Square,488
10th & E St NW,4th & E St SW,723
10th & E St NW,4th & East Capitol St NE,684
10th & E St NW,4th & M St SW,1234
10th & E St NW,4th & W St NE,45
10th & E St NW,5th & F St NW,481
10th & E St NW,5th & K St NW,1169
10th & E St NW,5th St & Massachusetts Ave NW,1214
10th & E St NW,6th & H St NE,328
10th & E St NW,6th & Water St SW / SW Waterfront,253
10th & E St NW,6th St & Indiana Ave NW,462
10th & E St NW,7th & F St NW / National Portrait Gallery,983
10th & E St NW,7th & R St NW / Shaw Library,158
10th & E St NW,7th & T St NW,134
10th & E St NW,8th & D St NW,407
10th & E St NW,8th & East Capitol St NE,319
10th & E St NW,8th & Eye St SE / Barracks Row,93
10th & E St NW,8th & F St NE,288
10th & E St NW,8th & F St NW,75
10th & E St NW,8th & H St NW,764
10th & E St NW,8th & O St NW,81
10th & E St NW,9th & Upshur St NW,44
10th & E St NW,Adams Mill & Columbia Rd NW,120
10th & E St NW,Anacostia Ave & Benning Rd NE / River Terrace,1
10th & E St NW,Anacostia Library,4
10th & E St NW,Anacostia Metro,2
10th & E St NW,Arlington Blvd & Fillmore St,1
10th & E St NW,Arlington Blvd & N Queen St,5
10th & E St NW,Ballston Metro / N Stuart & 9th St N,1
10th & E St NW,Barton St & 10th St N,22
10th & E St NW,Benning Rd & East Capitol St NE / Benning Rd Metro,3
10th & E St NW,Bethesda Ave & Arlington Rd,1
10th & E St NW,Bladensburg Rd & Benning Rd NE,84
10th & E St NW,Braddock Rd Metro,2
10th & E St NW,C & O Canal & Wisconsin Ave NW,203
10th & E St NW,California St & Florida Ave NW,266
10th & E St NW,Calvert & Biltmore St NW,12
10th & E St NW,Calvert St & Woodley Pl NW,64
10th & E St NW,Clarendon Blvd & N Fillmore St,2
10th & E St NW,Clarendon Blvd & Pierce St,11
10th & E St NW,Clarendon Metro / Wilson Blvd & N Highland St,2
10th & E St NW,Columbia Pike & S Courthouse Rd,1
10th & E St NW,Columbia Pike & S Orme St,9
10th & E St NW,Columbia Rd & Belmont St NW,65
10th & E St NW,Columbia Rd & Georgia Ave NW,28
10th & E St NW,Columbus Circle / Union Station,1688
10th & E St NW,Commerce St & Fayette St,1
10th & E St NW,Connecticut & Nebraska Ave NW,2
10th & E St NW,Connecticut Ave & Newark St NW / Cleveland Park,14
10th & E St NW,Connecticut Ave & Tilden St NW,4
10th & E St NW,Constitution Ave & 2nd St NW/DOL,744
10th & E St NW,Convention Center / 7th & M St NW,325
10th & E St NW,Court House Metro / 15th & N Uhle St,19
10th & E St NW,Crystal City Metro / 18th & Bell St,18
10th & E St NW,D St & Maryland Ave NE,685
10th & E St NW,Eastern Market / 7th & North Carolina Ave SE,267
10th & E St NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,352
10th & E St NW,Eckington Pl & Q St NE,62
10th & E St NW,Fairfax Dr & Kenmore St,2
10th & E St NW,Fairfax Dr & Wilson Blvd,3
10th & E St NW,Fenton St & Ellsworth Dr,1
10th & E St NW,Fessenden St & Wisconsin Ave NW,1
10th & E St NW,Florida Ave & R St NW,136
10th & E St NW,Fort Totten Metro,1
10th & E St NW,Gallaudet / 8th St & Florida Ave NE,78
10th & E St NW,George Mason Dr & Wilson Blvd,8
10th & E St NW,Georgetown Harbor / 30th St NW,206
10th & E St NW,Georgia & New Hampshire Ave NW,141
10th & E St NW,Georgia Ave & Emerson St NW,3
10th & E St NW,Georgia Ave & Spring St,1
10th & E St NW,Georgia Ave and Fairmont St NW,53
10th & E St NW,Good Hope Rd & 14th St SE,3
10th & E St NW,Hains Point/Buckeye & Ohio Dr SW,77
10th & E St NW,Hamlin & 7th St NE,9
10th & E St NW,Harvard St & Adams Mill Rd NW,20
10th & E St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,13
10th & E St NW,Henry St & Pendleton St,6
10th & E St NW,Independence Ave & L'Enfant Plaza SW/DOE,136
10th & E St NW,Iwo Jima Memorial/N Meade & 14th St N,85
10th & E St NW,Jefferson Dr & 14th St SW,1614
10th & E St NW,Jefferson Memorial,742
10th & E St NW,John McCormack Dr & Michigan Ave NE,13
10th & E St NW,Kennedy Center,57
10th & E St NW,Key Blvd & N Quinn St,7
10th & E St NW,King St & Patrick St,2
10th & E St NW,King St Metro South,1
10th & E St NW,L'Enfant Plaza / 7th & C St SW,918
10th & E St NW,Lamont & Mt Pleasant NW,60
10th & E St NW,Lee Hwy & N Adams St,1
10th & E St NW,Lee Hwy & N Scott St,4
10th & E St NW,Lincoln Memorial,1565
10th & E St NW,Lincoln Park / 13th & East Capitol St NE,487
10th & E St NW,Lynn & 19th St North,59
10th & E St NW,M St & Delaware Ave NE,188
10th & E St NW,M St & New Jersey Ave SE,160
10th & E St NW,M St & Pennsylvania Ave NW,381
10th & E St NW,Market Square / King St & Royal St,6
10th & E St NW,Maryland & Independence Ave SW,1275
10th & E St NW,Maryland Ave & E St NE,16
10th & E St NW,Massachusetts Ave & Dupont Circle NW,537
10th & E St NW,Metro Center / 12th & G St NW,463
10th & E St NW,MLK Library/9th & G St NW,85
10th & E St NW,Mount Vernon Ave & E Del Ray Ave,3
10th & E St NW,Mount Vernon Ave & Kennedy St,2
10th & E St NW,N Pershing Dr & Wayne St,2
10th & E St NW,N Quincy St & Glebe Rd,3
10th & E St NW,N Rhodes & 16th St N,8
10th & E St NW,N Veitch  & 20th St N,2
10th & E St NW,Nannie Helen Burroughs & Minnesota Ave NE,20
10th & E St NW,Neal St & Trinidad Ave NE,49
10th & E St NW,New Hampshire Ave & 24th St NW,55
10th & E St NW,New Hampshire Ave & T St NW,193
10th & E St NW,New Jersey Ave & N St NW/Dunbar HS,111
10th & E St NW,New Jersey Ave & R St NW,161
10th & E St NW,New York Ave & 15th St NW,835
10th & E St NW,New York Ave & Hecht Ave NE,1
10th & E St NW,North Capitol St & F St NW,1565
10th & E St NW,North Capitol St & G Pl NE,106
10th & E St NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,286
10th & E St NW,Oklahoma Ave & D St NE,8
10th & E St NW,Park Rd & Holmead Pl NW,181
