StartStation,EndStation,Ridership,start_id,start_terminalName,start_lat,start_long,start_nbBikes,start_nbEmptyDocks,end_id,end_terminalName,end_lat,end_long,end_nbBikes,end_nbEmptyDocks,distance_hav
River Rd & Landy Ln,33rd & Water St NW,1467,326,32046,38.964992,-77.103381,10,8,330,31314,38.903295,-77.065884,1,18,7596.914604
14th St & Colorado Ave NW,Park Rd & Holmead Pl NW,980,218,31407,38.956432,-77.032947,9,10,33,31602,38.9308,-77.0315,8,10,2856.090242
Fort Totten Metro,5th & Kennedy St NW,532,320,31515,38.952369,-77.002721,4,15,215,31403,38.956595,-77.019815,9,6,1552.756954
Van Ness Metro / UDC,Connecticut Ave & Newark St NW / Cleveland Park,4686,60,31300,38.944551,-77.063896,9,5,35,31305,38.934267,-77.057979,5,6,1254.219932
Van Ness Metro / UDC,Connecticut & Nebraska Ave NW,2781,60,31300,38.944551,-77.063896,9,5,228,31310,38.955016,-77.069956,12,10,1277.640981
Van Ness Metro / UDC,Massachusetts Ave & Dupont Circle NW,2432,60,31300,38.944551,-77.063896,9,5,51,31200,38.9101,-77.0444,8,34,4190.262647
Van Ness Metro / UDC,3000 Connecticut Ave NW / National Zoo,2112,60,31300,38.944551,-77.063896,9,5,151,31307,38.930282,-77.055599,1,14,1743.329831
Van Ness Metro / UDC,Adams Mill & Columbia Rd NW,2058,60,31300,38.944551,-77.063896,9,5,18,31104,38.922925,-77.042581,1,14,3033.517349
Van Ness Metro / UDC,Calvert St & Woodley Pl NW,2054,60,31300,38.944551,-77.063896,9,5,301,31121,38.923583,-77.050046,1,18,2624.226142
Van Ness Metro / UDC,Tenleytown / Wisconsin Ave & Albemarle St NW,1506,60,31300,38.944551,-77.063896,9,5,80,31303,38.947607,-77.079382,0,15,1383.223596
Van Ness Metro / UDC,Wisconsin Ave & Newark St NW,1119,60,31300,38.944551,-77.063896,9,5,64,31302,38.934881,-77.072755,4,15,1321.795291
Van Ness Metro / UDC,20th St & Florida Ave NW,935,60,31300,38.944551,-77.063896,9,5,46,31110,38.9154,-77.0446,2,11,3650.023429
Van Ness Metro / UDC,Connecticut Ave & Tilden St NW,777,60,31300,38.944551,-77.063896,9,5,314,31313,38.941154,-77.062036,9,6,411.0151554
Van Ness Metro / UDC,Ward Circle / American University,763,60,31300,38.944551,-77.063896,9,5,63,31301,38.938736,-77.087171,5,10,2116.628694
Van Ness Metro / UDC,Lamont & Mt Pleasant NW,718,60,31300,38.944551,-77.063896,9,5,21,31107,38.9319,-77.0388,4,15,2589.437801
Van Ness Metro / UDC,15th & P St NW,707,60,31300,38.944551,-77.063896,9,5,23,31201,38.90985,-77.034438,10,8,4629.250953
Van Ness Metro / UDC,Harvard St & Adams Mill Rd NW,519,60,31300,38.944551,-77.063896,9,5,85,31112,38.927872,-77.043358,1,14,2570.980339
Van Ness Metro / UDC,Park Rd & Holmead Pl NW,510,60,31300,38.944551,-77.063896,9,5,33,31602,38.9308,-77.0315,8,10,3195.584049
Van Ness Metro / UDC,21st & M St NW,508,60,31300,38.944551,-77.063896,9,5,53,31212,38.90534,-77.046774,14,5,4609.93819
39th & Veazey St NW,Tenleytown / Wisconsin Ave & Albemarle St NW,2743,208,31308,38.943837,-77.077078,3,12,80,31303,38.947607,-77.079382,0,15,464.6687673
39th & Veazey St NW,Van Ness Metro / UDC,2012,208,31308,38.943837,-77.077078,3,12,60,31300,38.944551,-77.063896,9,5,1144.057721
39th & Veazey St NW,Ward Circle / American University,1143,208,31308,38.943837,-77.077078,3,12,63,31301,38.938736,-77.087171,5,10,1042.169557
39th & Veazey St NW,Wisconsin Ave & Newark St NW,817,208,31308,38.943837,-77.077078,3,12,64,31302,38.934881,-77.072755,4,15,1064.927913
39th & Veazey St NW,Fessenden St & Wisconsin Ave NW,533,208,31308,38.943837,-77.077078,3,12,209,31309,38.954812,-77.082426,3,12,1306.518919
14th & Upshur St NW,Park Rd & Holmead Pl NW,1186,217,31406,38.942016,-77.032652,4,15,33,31602,38.9308,-77.0315,8,10,1252.537748
14th & Upshur St NW,Massachusetts Ave & Dupont Circle NW,570,217,31406,38.942016,-77.032652,4,15,51,31200,38.9101,-77.0444,8,34,3695.673799
14th & Upshur St NW,9th & Upshur St NW,511,217,31406,38.942016,-77.032652,4,15,146,31404,38.9418,-77.0251,5,10,654.3128272
9th & Upshur St NW,Park Rd & Holmead Pl NW,2332,146,31404,38.9418,-77.0251,5,10,33,31602,38.9308,-77.0315,8,10,1344.076546
9th & Upshur St NW,Massachusetts Ave & Dupont Circle NW,1361,146,31404,38.9418,-77.0251,5,10,51,31200,38.9101,-77.0444,8,34,3904.646396
9th & Upshur St NW,Georgia & New Hampshire Ave NW,1256,146,31404,38.9418,-77.0251,5,10,28,31400,38.936043,-77.024649,3,12,642.0549467
9th & Upshur St NW,11th & Kenyon St NW,882,146,31404,38.9418,-77.0251,5,10,16,31102,38.929464,-77.027822,2,25,1393.317706
9th & Upshur St NW,13th St & New York Ave NW,787,146,31404,38.9418,-77.0251,5,10,91,31227,38.900283,-77.029822,13,9,4639.710254
9th & Upshur St NW,20th St & Florida Ave NW,784,146,31404,38.9418,-77.0251,5,10,46,31110,38.9154,-77.0446,2,11,3389.450133
9th & Upshur St NW,14th & V St NW,683,146,31404,38.9418,-77.0251,5,10,15,31101,38.9176,-77.0321,4,22,2761.290296
9th & Upshur St NW,Lamont & Mt Pleasant NW,597,146,31404,38.9418,-77.0251,5,10,21,31107,38.9319,-77.0388,4,15,1619.186941
9th & Upshur St NW,16th & Harvard St NW,527,146,31404,38.9418,-77.0251,5,10,17,31103,38.926088,-77.036536,1,31,2009.928821
9th & Upshur St NW,Metro Center / 12th & G St NW,526,146,31404,38.9418,-77.0251,5,10,103,31230,38.898364,-77.027869,30,0,4841.21708
9th & Upshur St NW,Adams Mill & Columbia Rd NW,505,146,31404,38.9418,-77.0251,5,10,18,31104,38.922925,-77.042581,1,14,2589.652318
14th St & Spring Rd NW,Park Rd & Holmead Pl NW,6365,29,31401,38.9375,-77.0328,1,10,33,31602,38.9308,-77.0315,8,10,754.2877988
14th St & Spring Rd NW,Georgia & New Hampshire Ave NW,2439,29,31401,38.9375,-77.0328,1,10,28,31400,38.936043,-77.024649,3,12,724.1814193
14th St & Spring Rd NW,Lamont & Mt Pleasant NW,2300,29,31401,38.9375,-77.0328,1,10,21,31107,38.9319,-77.0388,4,15,811.5071254
14th St & Spring Rd NW,Adams Mill & Columbia Rd NW,2297,29,31401,38.9375,-77.0328,1,10,18,31104,38.922925,-77.042581,1,14,1830.262372
14th St & Spring Rd NW,14th & V St NW,2233,29,31401,38.9375,-77.0328,1,10,15,31101,38.9176,-77.0321,4,22,2216.087138
14th St & Spring Rd NW,Massachusetts Ave & Dupont Circle NW,2040,29,31401,38.9375,-77.0328,1,10,51,31200,38.9101,-77.0444,8,34,3211.337312
14th St & Spring Rd NW,16th & Harvard St NW,1480,29,31401,38.9375,-77.0328,1,10,17,31103,38.926088,-77.036536,1,31,1310.92502
14th St & Spring Rd NW,Calvert St & Woodley Pl NW,1436,29,31401,38.9375,-77.0328,1,10,301,31121,38.923583,-77.050046,1,18,2151.857161
14th St & Spring Rd NW,19th & L St NW,1346,29,31401,38.9375,-77.0328,1,10,86,31224,38.903407,-77.043648,10,4,3909.779801
14th St & Spring Rd NW,14th & Harvard St NW,1344,29,31401,38.9375,-77.0328,1,10,19,31105,38.9268,-77.0322,2,17,1192.251188
14th St & Spring Rd NW,15th & P St NW,1192,29,31401,38.9375,-77.0328,1,10,23,31201,38.90985,-77.034438,10,8,3081.251185
14th St & Spring Rd NW,11th & Kenyon St NW,1172,29,31401,38.9375,-77.0328,1,10,16,31102,38.929464,-77.027822,2,25,993.0032254
14th St & Spring Rd NW,Thomas Circle,1040,29,31401,38.9375,-77.0328,1,10,137,31241,38.9059,-77.0325,6,27,3517.791861
14th St & Spring Rd NW,20th St & Florida Ave NW,917,29,31401,38.9375,-77.0328,1,10,46,31110,38.9154,-77.0446,2,11,2663.956114
14th St & Spring Rd NW,14th St Heights / 14th & Crittenden St NW,850,29,31401,38.9375,-77.0328,1,10,65,31402,38.947774,-77.032818,5,6,1143.69751
14th St & Spring Rd NW,14th & Rhode Island Ave NW,804,29,31401,38.9375,-77.0328,1,10,25,31203,38.9086,-77.0323,14,8,3217.424699
14th St & Spring Rd NW,10th & U St NW,717,29,31401,38.9375,-77.0328,1,10,43,31111,38.9172,-77.0259,2,12,2337.453179
14th St & Spring Rd NW,17th & Corcoran St NW,693,29,31401,38.9375,-77.0328,1,10,59,31214,38.9121,-77.0387,5,13,2873.311924
14th St & Spring Rd NW,17th & K St NW,692,29,31401,38.9375,-77.0328,1,10,54,31213,38.90276,-77.03863,9,13,3900.063266
14th St & Spring Rd NW,14th & D St NW / Ronald Reagan Building,601,29,31401,38.9375,-77.0328,1,10,104,31231,38.894514,-77.031617,8,17,4786.276535
14th St & Spring Rd NW,17th & Rhode Island Ave NW,585,29,31401,38.9375,-77.0328,1,10,136,31239,38.906602,-77.038785,4,18,3478.387448
14th St & Spring Rd NW,Metro Center / 12th & G St NW,572,29,31401,38.9375,-77.0328,1,10,103,31230,38.898364,-77.027869,30,0,4377.483235
14th St & Spring Rd NW,14th & R St NW,560,29,31401,38.9375,-77.0328,1,10,24,31202,38.912682,-77.031681,3,12,2764.426245
14th St & Spring Rd NW,14th St & New York Ave NW,547,29,31401,38.9375,-77.0328,1,10,69,31216,38.899632,-77.031686,12,11,4216.55052
14th St & Spring Rd NW,9th & Upshur St NW,537,29,31401,38.9375,-77.0328,1,10,146,31404,38.9418,-77.0251,5,10,820.7471695
14th St & Spring Rd NW,17th & K St NW / Farragut Square,526,29,31401,38.9375,-77.0328,1,10,106,31233,38.902061,-77.038322,16,18,3973.935222
14th St & Spring Rd NW,21st & M St NW,510,29,31401,38.9375,-77.0328,1,10,53,31212,38.90534,-77.046774,14,5,3779.068899
10th & Monroe St NE,12th & Irving St NE,2826,93,31504,38.932514,-76.992889,6,5,237,31511,38.928644,-76.990955,2,12,462.2151161
10th & Monroe St NE,1st & M St NE,1868,93,31504,38.932514,-76.992889,6,5,52,31603,38.9057,-77.0056,6,6,3181.46841
10th & Monroe St NE,Columbus Circle / Union Station,1049,93,31504,38.932514,-76.992889,6,5,113,31623,38.89696,-77.00493,36,7,4092.960231
10th & Monroe St NE,Eastern Market / 7th & North Carolina Ave SE,988,93,31504,38.932514,-76.992889,6,5,68,31610,38.886952,-76.996806,6,7,5083.274956
10th & Monroe St NE,North Capitol St & F St NW,576,93,31504,38.932514,-76.992889,6,5,114,31624,38.897446,-77.009888,18,5,4172.18947
Lamont & Mt Pleasant NW,Adams Mill & Columbia Rd NW,8868,21,31107,38.9319,-77.0388,4,15,18,31104,38.922925,-77.042581,1,14,1051.379825
Lamont & Mt Pleasant NW,Park Rd & Holmead Pl NW,6647,21,31107,38.9319,-77.0388,4,15,33,31602,38.9308,-77.0315,8,10,643.8968593
Lamont & Mt Pleasant NW,Massachusetts Ave & Dupont Circle NW,5830,21,31107,38.9319,-77.0388,4,15,51,31200,38.9101,-77.0444,8,34,2474.756058
Lamont & Mt Pleasant NW,16th & Harvard St NW,4293,21,31107,38.9319,-77.0388,4,15,17,31103,38.926088,-77.036536,1,31,676.0425418
Lamont & Mt Pleasant NW,20th St & Florida Ave NW,4028,21,31107,38.9319,-77.0388,4,15,46,31110,38.9154,-77.0446,2,11,1904.217132
Lamont & Mt Pleasant NW,Calvert St & Woodley Pl NW,3796,21,31107,38.9319,-77.0388,4,15,301,31121,38.923583,-77.050046,1,18,1343.752495
Lamont & Mt Pleasant NW,14th & V St NW,3330,21,31107,38.9319,-77.0388,4,15,15,31101,38.9176,-77.0321,4,22,1694.322254
