StartStation,Ridership
10th & E St NW,54497
10th & Florida Ave NW,20349
10th & K St NW,18353
10th & Monroe St NE,20562
10th & U St NW,115645
10th St & Constitution Ave NW,115004
10th St & L'Enfant Plaza SW,951
11th & F St NW,43380
11th & H St NE,49879
11th & Kenyon St NW,153726
11th & M St NW,78109
11th & S St NW,15794
12th & Army Navy Dr,19002
12th & Irving St NE,6224
12th & L St NW,63176
12th & Newton St NE,8886
12th & U St NW,62325
13th & D St NE,88083
13th & H St NE,85050
13th St & Eastern Ave,2005
13th St & New York Ave NW,98643
14th & Belmont St NW,50154
14th & D St NW / Ronald Reagan Building,104452
14th & D St SE,62076
14th & G St NW,107546
14th & Girard St NW,1791
14th & Harvard St NW,131077
14th & L St NW,3120
14th & R St NW,144233
14th & Rhode Island Ave NW,170440
14th & Upshur St NW,14652
14th & V St NW,206645
14th St & Colorado Ave NW,9788
14th St & New York Ave NW,85727
14th St & Spring Rd NW,55547
14th St Heights / 14th & Crittenden St NW,16503
15th & Crystal Dr,24548
15th & East Capitol St NE,25752
15th & Euclid St  NW,49197
15th & F St NE,21254
15th & K St NW,59734
15th & L St NW,27850
15th & N Scott St,14530
15th & P St NW,260320
15th St & Massachusetts Ave SE,40123
16th & Harvard St NW,151227
16th & Irving St NW,3316
16th & K St NW,57114
16th & R St NW,4091
17th & Corcoran St NW,211351
17th & G St NW,36998
17th & K St NW,134895
17th & K St NW / Farragut Square,102114
17th & Rhode Island Ave NW,105271
17th St & Independence Ave SW,1433
17th St & Massachusetts Ave NW,68881
18th & C St NW,1594
18th & Eads St.,8011
18th & M St NW,110393
18th & R St NW,32061
18th St & Pennsylvania Ave NW,76450
18th St & Rhode Island Ave NE,11826
18th St & Wyoming Ave NW,62533
19th & E Street NW,44043
19th & East Capitol St SE,30217
19th & G St NW,14118
19th & K St NW,41768
19th & L St NW,83324
19th St & Constitution Ave NW,107999
19th St & Pennsylvania Ave NW,83114
1st & H St NW,21278
1st & K St SE,64540
1st & M St NE,130401
1st & N St SE,28078
1st & O St NW,2339
1st & Rhode Island Ave NW,69746
1st & Washington Hospital Center NW,13851
20th & Crystal Dr,27821
20th & E St NW,89592
20th & L St NW,38996
20th & O St NW / Dupont South,87194
20th St & Florida Ave NW,168346
20th St & Virginia Ave NW,18307
21st & I St NW,131781
21st & M St NW,145103
21st St & Constitution Ave NW,42569
21st St & Pennsylvania Ave NW,43069
21st St N & N Pierce St,3310
22nd & I St NW / Foggy Bottom,94711
23rd & Crystal Dr,28160
23rd & E St NW ,35918
23rd & Eads St,15574
24th & N St NW,53531
25th St & Pennsylvania Ave NW,137450
26th & S Clark St,5292
27th & Crystal Dr,41386
28th St S & S Meade St,3391
2nd & G St NE,11432
2nd St & Massachusetts Ave NE,2001
3000 Connecticut Ave NW / National Zoo,38001
31st & Woodrow St S,1019
33rd & Water St NW,20178
34th St & Wisconsin Ave NW,44042
36th & Calvert St NW / Glover Park,35626
37th & O St NW / Georgetown University,78897
39th & Calvert St NW / Stoddert,33815
39th & Veazey St NW,15484
3rd & D St SE,96850
3rd & Elm St NW,28535
3rd & G St SE,45731
3rd & H St NE,104004
3rd & H St NW,26898
3rd & Tingey St SE,25068
3rd St & Pennsylvania Ave SE,51586
47th & Elm St,2912
4th & D St NW / Judiciary Square,49404
4th & E St SW,69310
4th & East Capitol St NE,105441
4th & M St SW,105318
4th & W St NE,13777
5th & F St NW,99942
5th & K St NW,155238
5th & Kennedy St NW,5157
5th St & Massachusetts Ave NW,136790
6th & H St NE,56304
6th & S Ball St,1452
6th & Water St SW / SW Waterfront,38430
6th St & Indiana Ave NW,51213
7th & F St NW / National Portrait Gallery,134783
7th & R St NW / Shaw Library,85086
7th & T St NW,103146
8th & D St NW,42762
8th & East Capitol St NE,31882
8th & Eye St SE / Barracks Row,39979
8th & F St NE,37406
8th & F St NW,8228
8th & H St NW,168276
8th & O St NW,21109
9th & Upshur St NW,26587
Adams Mill & Columbia Rd NW,190208
Alabama & MLK Ave SE,619
Anacostia Ave & Benning Rd NE / River Terrace,4756
Anacostia Library,2860
Anacostia Metro,6888
Arlington Blvd & Fillmore St,2884
Arlington Blvd & N Queen St,8584
Arlington Blvd & S George Mason Dr/NFATC,3281
Army Navy Dr & S Nash St,1127
Aurora Hills Community Ctr/18th & Hayes St,13819
Ballenger Ave & Dulaney St,5796
Ballston Metro / N Stuart & 9th St N,27589
Barton St & 10th St N,8030
Battery Ln & Trolley Trail,3397
Benning Branch Library,1336
Benning Rd & East Capitol St NE / Benning Rd Metro,2434
Bethesda Ave & Arlington Rd,6269
Bethesda Metro,8613
Bladensburg Rd & Benning Rd NE,33130
Braddock Rd Metro,21089
Branch & Pennsylvania Ave SE,1037
Broschart & Blackwell Rd,102
C & O Canal & Wisconsin Ave NW,111790
California St & Florida Ave NW,86372
Calvert & Biltmore St NW,22449
Calvert St & Woodley Pl NW,138575
Carroll & Ethan Allen Ave,6106
Carroll & Westmoreland Ave,4676
Central Library / N Quincy St & 10th St N,11584
Clarendon Blvd & N Fillmore St,16249
Clarendon Blvd & Pierce St,21636
Clarendon Metro / Wilson Blvd & N Highland St,25557
Columbia Pike & S Courthouse Rd,6005
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,1829
Columbia Pike & S Orme St,4007
Columbia Pike & S Walter Reed Dr,4373
Columbia Rd & Belmont St NW,71732
Columbia Rd & Georgia Ave NW,47608
Columbus Circle / Union Station,340146
Commerce St & Fayette St,6470
Commonwealth & E Monroe Ave,72
Commonwealth Ave & Oak St,69
Congress Heights Metro,1235
Connecticut & Nebraska Ave NW,16957
Connecticut Ave & Chevy Chase Lake Dr,384
Connecticut Ave & Newark St NW / Cleveland Park,51969
Connecticut Ave & Tilden St NW,9555
Connecticut Ave & Yuma St NW,1944
Constitution Ave & 2nd St NW/DOL,64828
Convention Center / 7th & M St NW,124262
Cordell & Norfolk Ave,3960
Court House Metro / 15th & N Uhle St,39680
Crabbs Branch Way & Calhoun Pl,906
Crabbs Branch Way & Redland Rd,141
Crystal City Metro / 18th & Bell St,77212
D St & Maryland Ave NE,71481
Deanwood Rec Center,377
Duke St & John Carlyle St,2108
E Montgomery Ave & Maryland Ave,1054
Eads St & 15th St S,588
East Falls Church Metro/Sycamore St & 19th St N,82
East West Hwy & 16th St,147
East West Hwy & Blair Mill Rd,3126
Eastern Market / 7th & North Carolina Ave SE,102160
Eastern Market Metro / Pennsylvania Ave & 7th St SE,198131
Eckington Pl & Q St NE,42432
Eisenhower Ave & Mill Race Ln,1631
Fairfax Dr & Kenmore St,9117
Fairfax Dr & Wilson Blvd,16759
Fairfax Village,702
Fallsgrove Blvd & Fallsgrove Dr,792
Fallsgrove Dr & W Montgomery Ave,517
Fenton St & Ellsworth Dr,2901
Fenton St & Gist Ave,2847
Fenton St & New York Ave,3984
Fessenden St & Wisconsin Ave NW,5719
Fleet St & Ritchie Pkwy,571
Florida Ave & R St NW,93015
Fort Totten Metro,2351
Frederick Ave & Horners Ln,520
Friendship Blvd & Willard Ave,2679
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,7997
Gallaudet / 8th St & Florida Ave NE,25052
Garland Ave & Walden Rd,591
George Mason Dr & Wilson Blvd,9387
Georgetown Harbor / 30th St NW,91414
Georgia & Missouri Ave NW,1153
Georgia & New Hampshire Ave NW,116540
Georgia Ave & Emerson St NW,7272
Georgia Ave & Spring St,1403
Georgia Ave and Fairmont St NW,36094
Glebe Rd & 11th St N,8355
Good Hope & Naylor Rd SE,1554
Good Hope Rd & 14th St SE,3136
Good Hope Rd & MLK Ave SE,5326
Hains Point/Buckeye & Ohio Dr SW,13066
Hamlin & 7th St NE,5773
Harvard St & Adams Mill Rd NW,25973
Henry Bacon Dr & Lincoln Memorial Circle NW,2077
Henry St & Pendleton St,4670
Independence Ave & L'Enfant Plaza SW/DOE,21691
Iwo Jima Memorial/N Meade & 14th St N,17616
Jefferson Dr & 14th St SW,192468
Jefferson Memorial,116908
John McCormack Dr & Michigan Ave NE,13829
Kennedy Center,27368
Key Blvd & N Quinn St,9987
Key West Ave & Siesta Key Way,56
King Farm Blvd & Piccard Dr,1894
King Farm Blvd & Pleasant Dr,1468
King St & Patrick St,10420
King St Metro North / Cameron St,789
King St Metro South,21471
L'Enfant Plaza / 7th & C St SW,110795
Lamont & Mt Pleasant NW,116247
Lee Hwy & N Adams St,21672
Lee Hwy & N Cleveland St,5546
Lee Hwy & N Kirkwood Rd,1317
Lee Hwy & N Monroe St,1527
Lee Hwy & N Scott St,7350
Lee Hwy & N Woodstock St,346
Lincoln Memorial,206487
Lincoln Park / 13th & East Capitol St NE,126013
Long Bridge Park/Long Bridge Dr & 6th St S,2363
Lynn & 19th St North,68195
Lyttonsville Rd & Lyttonsville Pl,105
M St & Delaware Ave NE,50203
M St & New Jersey Ave SE,64880
M St & Pennsylvania Ave NW,98216
Madison & N Henry St,553
Maple & Ritchie Ave,1859
Market Square / King St & Royal St,14772
