Ridership	start_terminalName	start_lat	start_long	end_terminalName	end_lat	end_long
46	31256	38.895914	-77.026064	31120	38.920387	-77.025672
178	31256	38.895914	-77.026064	31263	38.9024	-77.02622
15	31256	38.895914	-77.026064	31504	38.932514	-76.992889
244	31256	38.895914	-77.026064	31111	38.9172	-77.0259
851	31256	38.895914	-77.026064	31219	38.893028	-77.026013
3	31256	38.895914	-77.026064	31287	38.884377	-77.025791
327	31256	38.895914	-77.026064	31262	38.897857	-77.026975
228	31256	38.895914	-77.026064	31614	38.899983	-76.991383
476	31256	38.895914	-77.026064	31102	38.929464	-77.027822
505	31256	38.895914	-77.026064	31266	38.905607	-77.027137
60	31256	38.895914	-77.026064	31280	38.913761	-77.027025
9	31256	38.895914	-77.026064	31008	38.8629	-77.0528
2	31256	38.895914	-77.026064	31511	38.928644	-76.990955
188	31256	38.895914	-77.026064	31251	38.903819	-77.0284
108	31256	38.895914	-77.026064	31501	38.933668	-76.991016
176	31256	38.895914	-77.026064	31268	38.916787	-77.028139
422	31256	38.895914	-77.026064	31622	38.894832	-76.987633
230	31256	38.895914	-77.026064	31611	38.9003	-76.9882
1	31256	38.895914	-77.026064	32006	38.987	-77.029417
374	31256	38.895914	-77.026064	31227	38.900283	-77.029822
98	31256	38.895914	-77.026064	31119	38.921074	-77.031887
588	31256	38.895914	-77.026064	31231	38.894514	-77.031617
168	31256	38.895914	-77.026064	31607	38.884	-76.9861
475	31256	38.895914	-77.026064	31238	38.898069	-77.031823
58	31256	38.895914	-77.026064	31105	38.9268	-77.0322
11	31256	38.895914	-77.026064	31283	38.903658	-77.031737
302	31256	38.895914	-77.026064	31202	38.912682	-77.031681
578	31256	38.895914	-77.026064	31203	38.9086	-77.0323
88	31256	38.895914	-77.026064	31406	38.942016	-77.032652
268	31256	38.895914	-77.026064	31101	38.9176	-77.0321
3	31256	38.895914	-77.026064	31407	38.956432	-77.032947
379	31256	38.895914	-77.026064	31216	38.899632	-77.031686
39	31256	38.895914	-77.026064	31401	38.9375	-77.0328
5	31256	38.895914	-77.026064	31402	38.947774	-77.032818
18	31256	38.895914	-77.026064	31003	38.86017	-77.049593
191	31256	38.895914	-77.026064	31630	38.889908	-76.983326
46	31256	38.895914	-77.026064	31117	38.92333	-77.0352
109	31256	38.895914	-77.026064	31632	38.897195	-76.983575
280	31256	38.895914	-77.026064	31254	38.902	-77.03353
76	31256	38.895914	-77.026064	31276	38.90366	-77.034846
10	31256	38.895914	-77.026064	31031	38.89054	-77.08095
673	31256	38.895914	-77.026064	31201	38.90985	-77.034438
98	31256	38.895914	-77.026064	31626	38.88732	-76.983569
73	31256	38.895914	-77.026064	31103	38.926088	-77.036536
2	31256	38.895914	-77.026064	31122	38.928893	-77.03625
15	31256	38.895914	-77.026064	31282	38.912652	-77.036278
593	31256	38.895914	-77.026064	31214	38.9121	-77.0387
242	31256	38.895914	-77.026064	31277	38.89841	-77.039624
211	31256	38.895914	-77.026064	31213	38.90276	-77.03863
380	31256	38.895914	-77.026064	31233	38.902061	-77.038322
225	31256	38.895914	-77.026064	31239	38.906602	-77.038785
5	31256	38.895914	-77.026064	31290	38.888097	-77.038325
203	31256	38.895914	-77.026064	31267	38.908142	-77.038359
9	31256	38.895914	-77.026064	31284	38.893511	-77.041544
3	31256	38.895914	-77.026064	31001	38.85725	-77.05332
187	31256	38.895914	-77.026064	31221	38.904742	-77.041606
86	31256	38.895914	-77.026064	31278	38.912648	-77.041834
466	31256	38.895914	-77.026064	31242	38.89968	-77.041539
142	31256	38.895914	-77.026064	31510	38.927095	-76.978924
85	31256	38.895914	-77.026064	31114	38.918809	-77.041571
110	31256	38.895914	-77.026064	31206	38.8952	-77.0436
69	31256	38.895914	-77.026064	31601	38.8896	-76.9769
30	31256	38.895914	-77.026064	31279	38.898412	-77.043182
90	31256	38.895914	-77.026064	31253	38.902204	-77.04337
84	31256	38.895914	-77.026064	31224	38.903407	-77.043648
583	31256	38.895914	-77.026064	31235	38.8923	-77.0436
206	31256	38.895914	-77.026064	31100	38.9003	-77.0429
114	31256	38.895914	-77.026064	31638	38.900358	-77.012108
525	31256	38.895914	-77.026064	31628	38.87861	-77.006004
522	31256	38.895914	-77.026064	31603	38.9057	-77.0056
11	31256	38.895914	-77.026064	31519	38.908643	-77.012365
282	31256	38.895914	-77.026064	31506	38.915417	-77.012289
3	31256	38.895914	-77.026064	31507	38.928743	-77.012457
25	31256	38.895914	-77.026064	31002	38.856425	-77.049232
374	31256	38.895914	-77.026064	31204	38.8963	-77.045
281	31256	38.895914	-77.026064	31250	38.903584	-77.044789
343	31256	38.895914	-77.026064	31234	38.908905	-77.04478
137	31256	38.895914	-77.026064	31110	38.9154	-77.0446
84	31256	38.895914	-77.026064	31259	38.894722	-77.045128
199	31256	38.895914	-77.026064	31205	38.9008	-77.047
583	31256	38.895914	-77.026064	31212	38.90534	-77.046774
208	31256	38.895914	-77.026064	31261	38.892459	-77.046567
141	31256	38.895914	-77.026064	31252	38.901539	-77.046564
305	31256	38.895914	-77.026064	31257	38.90088	-77.048911
20	31256	38.895914	-77.026064	31011	38.8533	-77.0498
128	31256	38.895914	-77.026064	31260	38.896104	-77.049882
5	31256	38.895914	-77.026064	31013	38.853531	-77.053509
98	31256	38.895914	-77.026064	31255	38.9066	-77.05152
369	31256	38.895914	-77.026064	31237	38.903827	-77.053485
14	31256	38.895914	-77.026064	31009	38.848441	-77.051516
2	31256	38.895914	-77.026064	31055	38.846222	-77.069275
86	31256	38.895914	-77.026064	31639	38.89967	-77.003666
42	31256	38.895914	-77.026064	31641	38.894972	-77.003135
34	31256	38.895914	-77.026064	31307	38.930282	-77.055599
43	31256	38.895914	-77.026064	31314	38.903295	-77.065884
33	31256	38.895914	-77.026064	31226	38.916442	-77.0682
30	31256	38.895914	-77.026064	31304	38.922581	-77.070334
63	31256	38.895914	-77.026064	31236	38.90774	-77.071652
102	31256	38.895914	-77.026064	31306	38.922649	-77.077271
441	31256	38.895914	-77.026064	31605	38.8851	-77.0023
72	31256	38.895914	-77.026064	31118	38.917622	-77.01597
259	31256	38.895914	-77.026064	31625	38.881185	-77.001828
463	31256	38.895914	-77.026064	31616	38.900412	-77.001949
335	31256	38.895914	-77.026064	31604	38.899408	-77.015289
75	31256	38.895914	-77.026064	31634	38.87501	-77.0024
303	31256	38.895914	-77.026064	31269	38.887378	-77.001955
488	31256	38.895914	-77.026064	31621	38.895344	-77.016106
723	31256	38.895914	-77.026064	31244	38.88412	-77.017445
684	31256	38.895914	-77.026064	31618	38.889955	-77.000349
1234	31256	38.895914	-77.026064	31108	38.8767	-77.0178
45	31256	38.895914	-77.026064	31500	38.919077	-77.000648
481	31256	38.895914	-77.026064	31620	38.897222	-77.019347
1169	31256	38.895914	-77.026064	31600	38.90304	-77.019027
1214	31256	38.895914	-77.026064	31265	38.90093	-77.018677
328	31256	38.895914	-77.026064	31615	38.899972	-76.998347
253	31256	38.895914	-77.026064	31609	38.87675	-77.02127
462	31256	38.895914	-77.026064	31264	38.894573	-77.01994
983	31256	38.895914	-77.026064	31232	38.897351	-77.022465
158	31256	38.895914	-77.026064	31245	38.912719	-77.022155
134	31256	38.895914	-77.026064	31109	38.9155	-77.0222
407	31256	38.895914	-77.026064	31270	38.894851	-77.02324
319	31256	38.895914	-77.026064	31629	38.889988	-76.995193
93	31256	38.895914	-77.026064	31608	38.8792	-76.9953
288	31256	38.895914	-77.026064	31631	38.897274	-76.994749
764	31256	38.895914	-77.026064	31228	38.8997	-77.023086
81	31256	38.895914	-77.026064	31281	38.90864	-77.02277
44	31256	38.895914	-77.026064	31404	38.9418	-77.0251
120	31256	38.895914	-77.026064	31104	38.922925	-77.042581
1	31256	38.895914	-77.026064	31708	38.896544	-76.96012
4	31256	38.895914	-77.026064	31804	38.865784	-76.9784
2	31256	38.895914	-77.026064	31801	38.862669	-76.994637
1	31256	38.895914	-77.026064	31070	38.873755	-77.089233
5	31256	38.895914	-77.026064	31051	38.889365	-77.077294
1	31256	38.895914	-77.026064	31037	38.881044	-77.111768
22	31256	38.895914	-77.026064	31050	38.884961	-77.08777
3	31256	38.895914	-77.026064	31707	38.889935	-76.93723
1	31256	38.895914	-77.026064	32002	38.981103	-77.097426
84	31256	38.895914	-77.026064	31617	38.900413	-76.982872
2	31256	38.895914	-77.026064	31047	38.814577	-77.052808
203	31256	38.895914	-77.026064	31225	38.90375	-77.06269
266	31256	38.895914	-77.026064	31116	38.917761	-77.04062
12	31256	38.895914	-77.026064	31106	38.923203	-77.047637
64	31256	38.895914	-77.026064	31121	38.923583	-77.050046
2	31256	38.895914	-77.026064	31021	38.8881	-77.09308
11	31256	38.895914	-77.026064	31016	38.893438	-77.076389
2	31256	38.895914	-77.026064	31022	38.88786	-77.094875
1	31256	38.895914	-77.026064	31053	38.863833	-77.080319
9	31256	38.895914	-77.026064	31066	38.867262	-77.072315
65	31256	38.895914	-77.026064	31113	38.920669	-77.04368
28	31256	38.895914	-77.026064	31115	38.928156	-77.02344
1688	31256	38.895914	-77.026064	31623	38.89696	-77.00493
1	31256	38.895914	-77.026064	31045	38.805648	-77.05293
2	31256	38.895914	-77.026064	31310	38.955016	-77.069956
14	31256	38.895914	-77.026064	31305	38.934267	-77.057979
4	31256	38.895914	-77.026064	31313	38.941154	-77.062036
744	31256	38.895914	-77.026064	31271	38.892275	-77.013917
325	31256	38.895914	-77.026064	31223	38.905737	-77.02227
19	31256	38.895914	-77.026064	31089	38.890612	-77.084801
18	31256	38.895914	-77.026064	31007	38.857063	-77.051141
685	31256	38.895914	-77.026064	31612	38.894758	-76.997114
267	31256	38.895914	-77.026064	31610	38.886952	-76.996806
352	31256	38.895914	-77.026064	31613	38.884	-76.995397
62	31256	38.895914	-77.026064	31505	38.910972	-77.00495
2	31256	38.895914	-77.026064	31040	38.884616	-77.10108
3	31256	38.895914	-77.026064	31023	38.885801	-77.097745
1	31256	38.895914	-77.026064	32036	38.997033	-77.025608
1	31256	38.895914	-77.026064	31309	38.954812	-77.082426
136	31256	38.895914	-77.026064	31503	38.9126	-77.0135
1	31256	38.895914	-77.026064	31515	38.952369	-77.002721
78	31256	38.895914	-77.026064	31508	38.90509	-76.9941
8	31256	38.895914	-77.026064	31036	38.87887	-77.1207
206	31256	38.895914	-77.026064	31215	38.9022212	-77.059219
141	31256	38.895914	-77.026064	31400	38.936043	-77.024649
3	31256	38.895914	-77.026064	31405	38.949662	-77.027333
1	31256	38.895914	-77.026064	32035	38.999388	-77.031555
53	31256	38.895914	-77.026064	31207	38.9249	-77.0222
3	31256	38.895914	-77.026064	31803	38.866611	-76.985238
77	31256	38.895914	-77.026064	31273	38.878433	-77.03023
9	31256	38.895914	-77.026064	31514	38.927497	-76.997194
20	31256	38.895914	-77.026064	31112	38.927872	-77.043358
13	31256	38.895914	-77.026064	31289	38.890544	-77.049379
6	31256	38.895914	-77.026064	31046	38.811456	-77.050276
136	31256	38.895914	-77.026064	31633	38.887312	-77.025762
85	31256	38.895914	-77.026064	31077	38.88992	-77.071301
1614	31256	38.895914	-77.026064	31247	38.888553	-77.032429
742	31256	38.895914	-77.026064	31249	38.879819	-77.037413
13	31256	38.895914	-77.026064	31502	38.9346	-76.9955
57	31256	38.895914	-77.026064	31211	38.897293	-77.05557
7	31256	38.895914	-77.026064	31027	38.896015	-77.078107
2	31256	38.895914	-77.026064	31044	38.805317	-77.049883
1	31256	38.895914	-77.026064	31048	38.805767	-77.06072
918	31256	38.895914	-77.026064	31218	38.886266	-77.022241
60	31256	38.895914	-77.026064	31107	38.9319	-77.0388
1	31256	38.895914	-77.026064	31030	38.89593	-77.089006
4	31256	38.895914	-77.026064	31080	38.897612	-77.080851
1565	31256	38.895914	-77.026064	31258	38.888251	-77.049426
487	31256	38.895914	-77.026064	31619	38.890461	-76.988355
59	31256	38.895914	-77.026064	31014	38.897315	-77.070993
188	31256	38.895914	-77.026064	31627	38.905707	-77.003041
160	31256	38.895914	-77.026064	31208	38.8763	-77.0037
381	31256	38.895914	-77.026064	31246	38.905126	-77.056887
6	31256	38.895914	-77.026064	31042	38.804718	-77.043363
1275	31256	38.895914	-77.026064	31243	38.887299	-77.018939
16	31256	38.895914	-77.026064	31640	38.896134	-76.9929
537	31256	38.895914	-77.026064	31200	38.9101	-77.0444
463	31256	38.895914	-77.026064	31230	38.898364	-77.027869
85	31256	38.895914	-77.026064	31274	38.898404	-77.024281
3	31256	38.895914	-77.026064	31086	38.82595	-77.058541
2	31256	38.895914	-77.026064	31088	38.833077	-77.059821
2	31256	38.895914	-77.026064	31065	38.880705	-77.08596
3	31256	38.895914	-77.026064	31035	38.876393	-77.107735
8	31256	38.895914	-77.026064	31018	38.892164	-77.079375
2	31256	38.895914	-77.026064	31029	38.896923	-77.086502
20	31256	38.895914	-77.026064	31704	38.901385	-76.941877
49	31256	38.895914	-77.026064	31512	38.903732	-76.987211
55	31256	38.895914	-77.026064	31275	38.901755	-77.051084
193	31256	38.895914	-77.026064	31229	38.91554	-77.03818
111	31256	38.895914	-77.026064	31636	38.90706	-77.015231
161	31256	38.895914	-77.026064	31509	38.912659	-77.017669
835	31256	38.895914	-77.026064	31222	38.8991	-77.0337
1	31256	38.895914	-77.026064	31518	38.915604	-76.983683
1565	31256	38.895914	-77.026064	31624	38.897446	-77.009888
106	31256	38.895914	-77.026064	31637	38.899703	-77.008911
286	31256	38.895914	-77.026064	31240	38.88412	-77.04657
8	31256	38.895914	-77.026064	31712	38.894474	-76.974828
181	31256	38.895914	-77.026064	31602	38.9308	-77.0315
2	31256	38.895914	-77.026064	31805	38.873057	-76.971015
27	31256	38.895914	-77.026064	31005	38.862303	-77.059936
4	31256	38.895914	-77.026064	31807	38.863897	-76.990037
100	31256	38.895914	-77.026064	31606	38.8803	-76.9862
1	31256	38.895914	-77.026064	31635	38.876737	-76.994468
1	31256	38.895914	-77.026064	31083	38.82175	-77.047494
10	31256	38.895914	-77.026064	31041	38.803124	-77.040363
27	31256	38.895914	-77.026064	31513	38.918155	-77.004746
12	31256	38.895914	-77.026064	31516	38.920682	-76.995876
1	31256	38.895914	-77.026064	32034	38.992679	-77.029457
43	31256	38.895914	-77.026064	31015	38.8946	-77.072305
3	31256	38.895914	-77.026064	31060	38.84232	-77.089555
8	31256	38.895914	-77.026064	31010	38.8426	-77.0502
3	31256	38.895914	-77.026064	31091	38.859254	-77.063275
11	31256	38.895914	-77.026064	31006	38.8637	-77.0633
2	31256	38.895914	-77.026064	31097	38.812718	-77.044097
7	31256	38.895914	-77.026064	31043	38.810743	-77.044664
990	31256	38.895914	-77.026064	31248	38.888767	-77.02858
2	31256	38.895914	-77.026064	31408	38.975219	-77.016855
12	31256	38.895914	-77.026064	31303	38.947607	-77.079382
797	31256	38.895914	-77.026064	31241	38.9059	-77.0325
11	31256	38.895914	-77.026064	31517	38.908008	-76.996985
113	31256	38.895914	-77.026064	31220	38.894919	-77.046587
467	31256	38.895914	-77.026064	31217	38.887237	-77.028226
2	31256	38.895914	-77.026064	31049	38.883669	-77.113905
1	31256	38.895914	-77.026064	31300	38.944551	-77.063896
3	31256	38.895914	-77.026064	31301	38.938736	-77.087171
537	31256	38.895914	-77.026064	31272	38.886978	-77.013769
3	31256	38.895914	-77.026064	31026	38.884734	-77.093485
5	31256	38.895914	-77.026064	31020	38.8904	-77.0889
4	31256	38.895914	-77.026064	31019	38.889	-77.0925
3	31256	38.895914	-77.026064	31039	38.880012	-77.107854
5	31256	38.895914	-77.026064	31017	38.891696	-77.0846
9	31256	38.895914	-77.026064	31302	38.934881	-77.072755
60	31256	38.895914	-77.026064	31312	38.90849	-77.063586
65	31120	38.920387	-77.025672	31256	38.895914	-77.026064
97	31120	38.920387	-77.025672	31263	38.9024	-77.02622
18	31120	38.920387	-77.025672	31504	38.932514	-76.992889
469	31120	38.920387	-77.025672	31111	38.9172	-77.0259
64	31120	38.920387	-77.025672	31219	38.893028	-77.026013
145	31120	38.920387	-77.025672	31262	38.897857	-77.026975
24	31120	38.920387	-77.025672	31614	38.899983	-76.991383
815	31120	38.920387	-77.025672	31102	38.929464	-77.027822
249	31120	38.920387	-77.025672	31266	38.905607	-77.027137
97	31120	38.920387	-77.025672	31280	38.913761	-77.027025
