id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
326,River Rd & Landy Ln,32046,38.964992,-77.103381,10,8
347,McKinley St & Connecticut Ave NW,31315,38.96497,-77.075946,7,12
271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,9,10
371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,11,8
309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,5,13
385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,5,13
215,5th & Kennedy St NW,31403,38.956595,-77.019815,9,6
218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,9,10
228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,12,10
209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,3,12
320,Fort Totten Metro,31515,38.952369,-77.002721,4,15
420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,5,20
216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,6,13
65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,5,6
80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,0,15
401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,6,13
376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,7,12
60,Van Ness Metro / UDC,31300,38.944551,-77.063896,9,5
208,39th & Veazey St NW,31308,38.943837,-77.077078,3,12
217,14th & Upshur St NW,31406,38.942016,-77.032652,4,15
146,9th & Upshur St NW,31404,38.9418,-77.0251,5,10
314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,9,6
63,Ward Circle / American University,31301,38.938736,-77.087171,5,10
29,14th St & Spring Rd NW,31401,38.9375,-77.0328,1,10
28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,3,12
64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,4,15
30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,4,7
35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,5,6
73,12th & Newton St NE,31501,38.933668,-76.991016,2,9
93,10th & Monroe St NE,31504,38.932514,-76.992889,6,5
21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,4,15
33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,8,10
151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,1,14
16,11th & Kenyon St NW,31102,38.929464,-77.027822,2,25
