id,name,terminalName,lat,long,installed,locked,temporary,public,nbBikes,nbEmptyDocks
1,Eads St & 15th St S,31000,38.858971,-77.05323,TRUE,FALSE,FALSE,TRUE,10,5
2,18th & Eads St.,31001,38.85725,-77.05332,TRUE,FALSE,FALSE,TRUE,5,4
3,20th & Crystal Dr,31002,38.856425,-77.049232,TRUE,FALSE,FALSE,TRUE,9,6
4,15th & Crystal Dr,31003,38.86017,-77.049593,TRUE,FALSE,FALSE,TRUE,8,3
5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,TRUE,FALSE,FALSE,TRUE,4,7
6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,TRUE,FALSE,FALSE,TRUE,15,4
7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,TRUE,FALSE,FALSE,TRUE,8,6
8,Crystal City Metro / 18th & Bell St,31007,38.857063,-77.051141,TRUE,FALSE,FALSE,TRUE,14,5
9,12th & Army Navy Dr,31008,38.8629,-77.0528,TRUE,FALSE,FALSE,TRUE,6,5
10,27th & Crystal Dr,31009,38.848441,-77.051516,TRUE,FALSE,FALSE,TRUE,11,8
11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,TRUE,FALSE,FALSE,TRUE,4,6
12,23rd & Crystal Dr,31011,38.8533,-77.0498,TRUE,FALSE,FALSE,TRUE,8,9
13,26th & S Clark St,31012,38.850688,-77.05152,TRUE,FALSE,FALSE,TRUE,6,5
14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,TRUE,FALSE,FALSE,TRUE,7,7
15,14th & V St NW,31101,38.9176,-77.0321,TRUE,FALSE,FALSE,TRUE,4,22
16,11th & Kenyon St NW,31102,38.929464,-77.027822,TRUE,FALSE,FALSE,TRUE,2,25
17,16th & Harvard St NW,31103,38.926088,-77.036536,TRUE,FALSE,FALSE,TRUE,1,31
18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,TRUE,FALSE,FALSE,TRUE,1,14
19,14th & Harvard St NW,31105,38.9268,-77.0322,TRUE,FALSE,FALSE,TRUE,2,17
20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,TRUE,FALSE,FALSE,TRUE,2,20
21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,TRUE,FALSE,FALSE,TRUE,4,15
22,4th & M St SW,31108,38.8767,-77.0178,TRUE,FALSE,FALSE,TRUE,5,16
23,15th & P St NW,31201,38.90985,-77.034438,TRUE,FALSE,FALSE,TRUE,10,8
24,14th & R St NW,31202,38.912682,-77.031681,TRUE,FALSE,FALSE,TRUE,3,12
25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,TRUE,FALSE,FALSE,TRUE,14,8
26,20th & E St NW,31204,38.8963,-77.045,TRUE,FALSE,FALSE,TRUE,7,8
27,21st & I St NW,31205,38.9008,-77.047,TRUE,FALSE,FALSE,TRUE,30,2
28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,TRUE,FALSE,FALSE,TRUE,3,12
29,14th St & Spring Rd NW,31401,38.9375,-77.0328,TRUE,FALSE,FALSE,TRUE,1,10
30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,TRUE,FALSE,FALSE,TRUE,4,7
31,5th & K St NW,31600,38.90304,-77.019027,TRUE,FALSE,FALSE,TRUE,4,14
32,19th & East Capitol St SE,31601,38.8896,-76.9769,TRUE,FALSE,FALSE,TRUE,1,12
33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,TRUE,FALSE,FALSE,TRUE,8,10
34,Good Hope & Naylor Rd SE,31700,38.8601,-76.9672,TRUE,FALSE,FALSE,TRUE,8,3
35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,TRUE,FALSE,FALSE,TRUE,5,6
36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,TRUE,FALSE,FALSE,TRUE,5,5
37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,TRUE,FALSE,FALSE,TRUE,5,10
38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,TRUE,FALSE,FALSE,TRUE,7,4
39,Anacostia Metro,31801,38.862669,-76.994637,TRUE,FALSE,FALSE,TRUE,3,7
40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,TRUE,FALSE,FALSE,TRUE,4,7
41,19th & E Street NW,31206,38.8952,-77.0436,TRUE,FALSE,FALSE,TRUE,3,8
42,4th & W St NE,31500,38.919077,-77.000648,TRUE,FALSE,FALSE,TRUE,5,9
43,10th & U St NW,31111,38.9172,-77.0259,TRUE,FALSE,FALSE,TRUE,2,12
44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,TRUE,FALSE,FALSE,TRUE,3,7
45,1st & N St  SE,31209,38.8743,-77.0057,TRUE,FALSE,FALSE,TRUE,20,17
46,20th St & Florida Ave NW,31110,38.9154,-77.0446,TRUE,FALSE,FALSE,TRUE,2,11
47,7th & T St NW,31109,38.9155,-77.0222,TRUE,FALSE,FALSE,TRUE,5,10
48,23rd & Eads St,31013,38.853531,-77.053509,TRUE,FALSE,FALSE,TRUE,4,11
49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,TRUE,FALSE,FALSE,TRUE,0,16
51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,TRUE,FALSE,FALSE,TRUE,8,34
52,1st & M St NE,31603,38.9057,-77.0056,TRUE,FALSE,FALSE,TRUE,6,6
53,21st & M St NW,31212,38.90534,-77.046774,TRUE,FALSE,FALSE,TRUE,14,5
54,17th & K St NW,31213,38.90276,-77.03863,TRUE,FALSE,FALSE,TRUE,9,13
55,3rd & H St NW,31604,38.899408,-77.015289,TRUE,FALSE,FALSE,TRUE,0,14
56,3rd & D St SE,31605,38.8851,-77.0023,TRUE,FALSE,FALSE,TRUE,5,6
57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,TRUE,FALSE,FALSE,TRUE,3,11
58,14th & D St SE,31607,38.884,-76.9861,TRUE,FALSE,FALSE,TRUE,3,9
59,17th & Corcoran St NW,31214,38.9121,-77.0387,TRUE,FALSE,FALSE,TRUE,5,13
60,Van Ness Metro / UDC,31300,38.944551,-77.063896,TRUE,FALSE,FALSE,TRUE,9,5
61,Florida Ave & R St NW,31503,38.9126,-77.0135,TRUE,FALSE,FALSE,TRUE,6,8
62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,TRUE,FALSE,FALSE,TRUE,9,2
63,Ward Circle / American University,31301,38.938736,-77.087171,TRUE,FALSE,FALSE,TRUE,5,10
64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,TRUE,FALSE,FALSE,TRUE,4,15
65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,TRUE,FALSE,FALSE,TRUE,5,6
66,Anacostia Library,31804,38.865784,-76.9784,TRUE,FALSE,FALSE,TRUE,7,4
67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,TRUE,FALSE,FALSE,TRUE,6,4
68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,TRUE,FALSE,FALSE,TRUE,6,7
69,14th St & New York Ave NW,31216,38.899632,-77.031686,TRUE,FALSE,FALSE,TRUE,12,11
70,Benning Branch Library,31705,38.894,-76.947974,TRUE,FALSE,FALSE,TRUE,9,2
71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226,TRUE,FALSE,FALSE,TRUE,15,22
72,Georgetown Harbor / 30th St NW,31215,38.9022212,-77.059219,TRUE,FALSE,FALSE,TRUE,6,13
73,12th & Newton St NE,31501,38.933668,-76.991016,TRUE,FALSE,FALSE,TRUE,2,9
74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,TRUE,FALSE,FALSE,TRUE,0,15
75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,TRUE,FALSE,FALSE,TRUE,15,0
76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,TRUE,FALSE,FALSE,TRUE,12,19
77,Kennedy Center,31211,38.897293,-77.05557,TRUE,FALSE,FALSE,TRUE,16,2
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,TRUE,FALSE,FALSE,TRUE,7,7
79,18th & M St NW,31221,38.904742,-77.041606,TRUE,FALSE,FALSE,TRUE,9,8
80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,TRUE,FALSE,FALSE,TRUE,0,15
